Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.7978,01/02/2019,28/02/2019
Albania,Lek,ALL,143.2,01/02/2019,28/02/2019
Algeria,Dinar,DZD,154.92,01/02/2019,28/02/2019
Angola,Readj Kwanza,AOA,405.47,01/02/2019,28/02/2019
Antigua,E Caribbean Dollar,XCD,3.5267,01/02/2019,28/02/2019
Argentina,Peso,ARS,49.0445,01/02/2019,28/02/2019
Armenia,Dram,AMD,633.59,01/02/2019,28/02/2019
Aruba,Florin,AWG,2.3381,01/02/2019,28/02/2019
Australia,Dollar,AUD,1.8315,01/02/2019,28/02/2019
Azerbaijan,New Manat,AZN,2.216,01/02/2019,28/02/2019
Bahamas,Dollar,BSD,1.3062,01/02/2019,28/02/2019
Bahrain,Dinar,BHD,0.4924,01/02/2019,28/02/2019
Bangladesh,Taka,BDT,109.65,01/02/2019,28/02/2019
Barbados,Dollar,BBD,2.6124,01/02/2019,28/02/2019
Belarus,Rouble,BYN,2.8142,01/02/2019,28/02/2019
Belize,Dollar,BZD,2.6108,01/02/2019,28/02/2019
Benin,CFA Franc,XOF,752.97,01/02/2019,28/02/2019
Bermuda,Dollar (US),BMD,1.3062,01/02/2019,28/02/2019
Bhutan,Ngultrum,BTN,93.19,01/02/2019,28/02/2019
Bolivia,Boliviano,BOB,9.0258,01/02/2019,28/02/2019
Bosnia- Herzegovinia,Marka,BAM,2.2452,01/02/2019,28/02/2019
Botswana,Pula,BWP,13.77,01/02/2019,28/02/2019
Brazil,Real,BRL,4.9631,01/02/2019,28/02/2019
Brunei,Dollar,BND,1.776,01/02/2019,28/02/2019
Bulgaria,Lev,BGN,2.2451,01/02/2019,28/02/2019
Burkina Faso,CFA Franc,XOF,752.97,01/02/2019,28/02/2019
Burundi,Franc,BIF,2372.05,01/02/2019,28/02/2019
Cambodia,Riel,KHR,5245.69,01/02/2019,28/02/2019
Cameroon Republic,CFA Franc,XAF,752.97,01/02/2019,28/02/2019
Canada,Dollar,CAD,1.7446,01/02/2019,28/02/2019
Cape Verde Islands,Escudo,CVE,127.19,01/02/2019,28/02/2019
Cayman Islands,Dollar,KYD,1.0711,01/02/2019,28/02/2019
Central African Republic,CFA Franc,XAF,752.97,01/02/2019,28/02/2019
Chad,CFA Franc,XAF,752.97,01/02/2019,28/02/2019
Chile,Peso,CLP,878.43,01/02/2019,28/02/2019
China,Yuan,CNY,8.8658,01/02/2019,28/02/2019
Colombia,Peso,COP,4113.85,01/02/2019,28/02/2019
Comoros,Franc,KMF,564.73,01/02/2019,28/02/2019
Congo (Brazaville),CFA Franc,XAF,752.97,01/02/2019,28/02/2019
Congo (DemRep),Congo Fr,CDF,2129.1,01/02/2019,28/02/2019
Costa Rica,Colon,CRC,787.08,01/02/2019,28/02/2019
Cote d'Ivoire,CFA Franc,XOF,752.97,01/02/2019,28/02/2019
Croatia,Kuna,HRK,8.5353,01/02/2019,28/02/2019
Cuba,Peso,CUP,1.3062,01/02/2019,28/02/2019
Czech Republic,Koruna,CZK,29.47,01/02/2019,28/02/2019
Denmark,Krone,DKK,8.5708,01/02/2019,28/02/2019
Djibouti,Franc,DJF,232.13,01/02/2019,28/02/2019
Dominica,E Caribbean Dollar,XCD,3.5267,01/02/2019,28/02/2019
Dominican Republic,Peso,DOP,65.47,01/02/2019,28/02/2019
Dubai,Dirham,AED,4.7978,01/02/2019,28/02/2019
Ecuador,Dollar,ECS,1.3062,01/02/2019,28/02/2019
Egypt,Pound,EGP,23.35,01/02/2019,28/02/2019
El Salvador,Colon,SVC,11.43,01/02/2019,28/02/2019
Equatorial Guinea,CFA Franc,XAF,752.97,01/02/2019,28/02/2019
Eritrea,Nakfa,ERN,19.59,01/02/2019,28/02/2019
Ethiopia,Birr,ETB,36.95,01/02/2019,28/02/2019
Eurozone,Euro,EUR,1.1479,01/02/2019,28/02/2019
Fiji Islands,Dollar,FJD,2.776,01/02/2019,28/02/2019
Fr. Polynesia,CFP Franc,XPF,136.98,01/02/2019,28/02/2019
Gabon,CFA Franc,XAF,752.97,01/02/2019,28/02/2019
Gambia,Dalasi,GMD,64.69,01/02/2019,28/02/2019
Georgia,Lari,GEL,3.4693,01/02/2019,28/02/2019
Ghana,Cedi,GHS,6.4461,01/02/2019,28/02/2019
Grenada,E Caribbean Dollar,XCD,3.5267,01/02/2019,28/02/2019
Guatemala,Quetzal,GTQ,10.89,01/02/2019,28/02/2019
Guinea Bissau,CFA Franc,XOF,752.97,01/02/2019,28/02/2019
Guinea Republic,Franc,GNF,11911.89,01/02/2019,28/02/2019
Guyana,Dollar,GYD,273.08,01/02/2019,28/02/2019
Haiti,Gourde,HTG,102.07,01/02/2019,28/02/2019
Honduras,Lempira,HNL,31.78,01/02/2019,28/02/2019
Hong Kong,Dollar,HKD,10.24,01/02/2019,28/02/2019
Hungary,Forint,HUF,365.08,01/02/2019,28/02/2019
Iceland,Krona,ISK,157.25,01/02/2019,28/02/2019
India,Rupee,INR,93.19,01/02/2019,28/02/2019
Indonesia,Rupiah,IDR,18521.91,01/02/2019,28/02/2019
Iraq,Dinar,IQD,1554.37,01/02/2019,28/02/2019
Israel,Shekel,ILS,4.7977,01/02/2019,28/02/2019
Jamaica,Dollar,JMD,169.46,01/02/2019,28/02/2019
Japan,Yen,JPY,143.2,01/02/2019,28/02/2019
