Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.747,01/12/2014,31/12/2014
Afghanistan,Afghani,AFN,89.4667,01/12/2014,31/12/2014
Albania,Lek,ALL,175.092,01/12/2014,31/12/2014
Algeria,Dinar,DZD,132.144,01/12/2014,31/12/2014
Angola,Readj Kwanza,AOA,157.803,01/12/2014,31/12/2014
Antigua,E Caribbean Dollar,XCD,4.2246,01/12/2014,31/12/2014
Argentina,Peso,ARS,13.3411,01/12/2014,31/12/2014
Armenia,Dram,AMD,648.86,01/12/2014,23/12/2014
Armenia,Dram,AMD,734.713,24/12/2014,31/12/2014
Aruba,Florin,AWG,2.8008,01/12/2014,31/12/2014
Australia,Dollar,AUD,1.8159,01/12/2014,23/12/2014
Australia,Dollar,AUD,1.916,24/12/2014,31/12/2014
Austria,Euro,EUR,1.2492,01/12/2014,31/12/2014
Azerbaijan,New Manat,AZN,1.2264,01/12/2014,31/12/2014
Bahamas,Dollar,BSD,1.5666,01/12/2014,31/12/2014
Bahrain,Dinar,BHD,0.5899,01/12/2014,31/12/2014
Bangladesh,Taka,BDT,121.08,01/12/2014,31/12/2014
Barbados,Dollar,BBD,3.1293,01/12/2014,31/12/2014
Belarus,Rouble,BYR,16945.2,01/12/2014,31/12/2014
Belgium,Euro,EUR,1.2492,01/12/2014,31/12/2014
Belize,Dollar,BZD,3.1215,01/12/2014,31/12/2014
Benin,CFA Franc,XOF,822.423,01/12/2014,31/12/2014
Bermuda,Dollar,BMD,1.5666,01/12/2014,31/12/2014
Bhutan,Ngultrum,BTN,97.0556,01/12/2014,31/12/2014
Bolivia,Boliviano,BOB,10.8118,01/12/2014,31/12/2014
Bosnia- Herzegovinia,Marka,BAM,2.4522,01/12/2014,31/12/2014
Botswana,Pula,BWP,14.4877,01/12/2014,31/12/2014
Brazil,Real,BRL,4.0451,01/12/2014,31/12/2014
Brunei,Dollar,BND,2.0324,01/12/2014,31/12/2014
Bulgaria,Lev,BGN,2.4526,01/12/2014,31/12/2014
Burkina Faso,CFA Franc,XOF,822.423,01/12/2014,31/12/2014
Burundi,Franc,BIF,2456.51,01/12/2014,31/12/2014
Cambodia,Riel,KHR,6336.83,01/12/2014,31/12/2014
Cameroon Republic,CFA Franc,XAF,822.423,01/12/2014,31/12/2014
Canada,Dollar,CAD,1.7764,01/12/2014,31/12/2014
Cape Verde Islands,Escudo,CVE,136.109,01/12/2014,31/12/2014
Cayman Islands,Dollar,KYD,1.283,01/12/2014,31/12/2014
Central African Republic,CFA Franc,XAF,822.423,01/12/2014,31/12/2014
Chad,CFA Franc,XAF,822.423,01/12/2014,31/12/2014
Chile,Peso,CLP,930.2,01/12/2014,31/12/2014
China,Yuan,CNY,9.5924,01/12/2014,31/12/2014
Colombia,Peso,COP,3378.08,01/12/2014,16/12/2014
Colombia,Peso,COP,3588.62,17/12/2014,31/12/2014
Comoros,Franc,KMF,616.818,01/12/2014,31/12/2014
Congo,CFA Franc,XAF,822.423,01/12/2014,31/12/2014
Congo,Congo Fr,CDF,1449.65,01/12/2014,31/12/2014
Costa Rica,Colon,CRC,841.259,01/12/2014,31/12/2014
Cote d'Ivoire,CFA Franc,XOF,822.423,01/12/2014,31/12/2014
Croatia,Kuna,HRK,9.6157,01/12/2014,31/12/2014
Cuba,Peso,CUP,1.5647,01/12/2014,31/12/2014
Cyprus,Euro,EUR,1.2492,01/12/2014,31/12/2014
Czech Republic,Koruna,CZK,34.7434,01/12/2014,31/12/2014
Denmark,Krone,DKK,9.2986,01/12/2014,31/12/2014
Djibouti,Franc,DJF,277.1,01/12/2014,31/12/2014
Dominica,E Caribbean Dollar,XCD,4.2246,01/12/2014,31/12/2014
Dominican Republic,Peso,DOP,68.9698,01/12/2014,31/12/2014
Dubai,Dirham,AED,5.747,01/12/2014,31/12/2014
Ecuador,Dollar,ECS,1.5666,01/12/2014,31/12/2014
Egypt,Pound,EGP,11.1874,01/12/2014,31/12/2014
El Salvador,Colon,SVC,13.6852,01/12/2014,31/12/2014
Equatorial Guinea,CFA Franc,XAF,822.423,01/12/2014,31/12/2014
Eritrea,Nakfa,ERN,23.4698,01/12/2014,31/12/2014
