Country name,Currency name,Currency code,Currency Units per £1,Start Date,End Date
Malaysia,Ringgit,MYR,5.3798,01/11/2018,30/11/2018
Maldive Islands,Rufiyaa,MVR,19.94,01/11/2018,30/11/2018
Mali Republic,CFA Franc,XOF,743.22,01/11/2018,30/11/2018
Mauritania,Ouguiya,MRO,461.34,01/11/2018,30/11/2018
Mauritius,Rupee,MUR,44.67,01/11/2018,30/11/2018
Mexico,Mexican Peso,MXN,25.1,01/11/2018,30/11/2018
Moldova,Leu,MDL,22.07,01/11/2018,30/11/2018
Mongolia,Tugrik,MNT,3311.94,01/11/2018,30/11/2018
Montserrat,E Caribbean Dollar,XCD,3.4863,01/11/2018,30/11/2018
Morocco,Dirham,MAD,12.3,01/11/2018,30/11/2018
Mozambique,Metical,MZN,78.31,01/11/2018,30/11/2018
Myanmar,Kyat,MMK,2047.07,01/11/2018,30/11/2018
Nepal,Rupee,NPR,151.24,01/11/2018,30/11/2018
New Caledonia,CFP Franc,XPF,135.2,01/11/2018,30/11/2018
New Zealand,Dollar,NZD,1.9749,01/11/2018,30/11/2018
Nicaragua,Gold Cordoba,NIO,41.36,01/11/2018,30/11/2018
Niger Republic,CFA Franc,XOF,743.22,01/11/2018,30/11/2018
Nigeria,Naira,NGN,469.61,01/11/2018,30/11/2018
Norway,Norwegian Krone,NOK,10.75,01/11/2018,30/11/2018
Oman,Rial,OMR,0.497,01/11/2018,30/11/2018
Pakistan,Rupee,PKR,170.63,01/11/2018,30/11/2018
Panama,Balboa,PAB,1.2912,01/11/2018,30/11/2018
Papua New Guinea,Kina,PGK,4.3364,01/11/2018,30/11/2018
Paraguay,Guarani,PYG,7734.49,01/11/2018,30/11/2018
Peru,New Sol,PEN,4.3121,01/11/2018,30/11/2018
Philippines,Peso,PHP,69.39,01/11/2018,30/11/2018
Poland,Zloty,PLN,4.8828,01/11/2018,30/11/2018
Qatar,Riyal,QAR,4.7013,01/11/2018,30/11/2018
Romania,New Leu,RON,5.2801,01/11/2018,30/11/2018
Russia,Rouble,RUB,84.51,01/11/2018,30/11/2018
Rwanda,Franc,RWF,1144.7,01/11/2018,30/11/2018
Saotome & Principe,Dobra,STD,27567.2,01/11/2018,30/11/2018
Saudi Arabia,Riyal,SAR,4.8434,01/11/2018,30/11/2018
Senegal,CFA Franc,XOF,743.22,01/11/2018,30/11/2018
Serbia,Dinar,RSD,134.36,01/11/2018,30/11/2018
Seychelles,Rupee,SCR,17.88,01/11/2018,30/11/2018
Sierra Leone,Leone,SLL,10846.12,01/11/2018,30/11/2018
Singapore,Dollar,SGD,1.782,01/11/2018,30/11/2018
Soloman Islands,Dollar,SBD,10.35,01/11/2018,30/11/2018
Somali Republic,Schilling,SOS,748.89,01/11/2018,30/11/2018
South Africa,Rand,ZAR,18.69,01/11/2018,30/11/2018
South Korea,Won,KRW,1461.83,01/11/2018,30/11/2018
Sri Lanka,Rupee,LKR,222.92,01/11/2018,30/11/2018
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.4863,01/11/2018,30/11/2018
St Lucia,E Caribbean Dollar,XCD,3.4863,01/11/2018,30/11/2018
St Vincent,E Caribbean Dollar,XCD,3.4863,01/11/2018,30/11/2018
Sudan Republic,Pound,SDG,60.86,01/11/2018,30/11/2018
Surinam,Dollar,SRD,9.6298,01/11/2018,30/11/2018
Swaziland,Lilangeni,SZL,18.69,01/11/2018,30/11/2018
Sweden,Krona,SEK,11.74,01/11/2018,30/11/2018
Switzerland,Franc,CHF,1.2886,01/11/2018,30/11/2018
Taiwan,Dollar,TWD,39.94,01/11/2018,30/11/2018
Tanzania,Schilling,TZS,2962.67,01/11/2018,30/11/2018
Thailand,Baht,THB,42.45,01/11/2018,30/11/2018
Togo Republic,CFA Franc,XOF,743.22,01/11/2018,30/11/2018
Tonga Islands,Pa'anga (AUS),TOP,1.8244,01/11/2018,30/11/2018
Trinidad/Tobago,Dollar,TTD,8.7221,01/11/2018,30/11/2018
Tunisia,Dinar,TND,3.687,01/11/2018,30/11/2018
Turkey,Turkish  Lira,TRY,7.3113,01/11/2018,30/11/2018
Turkmenistan,New Manat,TMT,4.5321,01/11/2018,30/11/2018
UAE,Dirham,AED,4.7427,01/11/2018,30/11/2018
Uganda,Schilling,UGX,4854.93,01/11/2018,30/11/2018
Ukraine,Hryvnia,UAH,36.5,01/11/2018,30/11/2018
Uruguay,Peso,UYU,42.43,01/11/2018,30/11/2018
USA,Dollar,USD,1.2912,01/11/2018,30/11/2018
Uzbekistan,Sum,UZS,10621.59,01/11/2018,30/11/2018
Vanuatu,Vatu,VUV,148.3,01/11/2018,30/11/2018
Venezuela,Bolivar Fuerte,VEF,320890.35,01/11/2018,30/11/2018
Vietnam,Dong,VND,30148.36,01/11/2018,30/11/2018
Wallis & Futuna Islands,CFP Franc,XPF,135.2,01/11/2018,30/11/2018
Western Samoa,Tala,WST,3.389,01/11/2018,30/11/2018
Yemen (Rep of),Rial,YER,323,01/11/2018,30/11/2018
Zambia,Kwacha,ZMW,15.07,01/11/2018,30/11/2018
Zimbabwe,Dollar,ZWL,467.28,01/11/2018,30/11/2018
