Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.7054,01/05/2017,31/05/2017
Albania,Lek,ALL,161.5900,01/05/2017,31/05/2017
Algeria,Dinar,DZD,140.6000,01/05/2017,31/05/2017
Angola,Readj Kwanza,AOA,212.5400,01/05/2017,31/05/2017
Antigua,E Caribbean Dollar,XCD,3.4588,01/05/2017,31/05/2017
Argentina,Peso,ARS,19.7100,01/05/2017,31/05/2017
Armenia,Dram,AMD,621.9100,01/05/2017,31/05/2017
Aruba,Florin,AWG,2.2931,01/05/2017,31/05/2017
Australia,Dollar,AUD,1.7062,01/05/2017,31/05/2017
Azerbaijan,New Manat,AZN,2.1490,01/05/2017,31/05/2017
Bahamas,Dollar,BSD,1.2810,01/05/2017,31/05/2017
Bahrain,Dinar,BHD,0.4830,01/05/2017,31/05/2017
Bangladesh,Taka,BDT,104.9800,01/05/2017,31/05/2017
Barbados,Dollar,BBD,2.5621,01/05/2017,31/05/2017
Belarus,Rouble,BYN,2.5717,01/05/2017,31/05/2017
Belize,Dollar,BZD,2.5605,01/05/2017,31/05/2017
Benin,CFA Franc,XOF,784.2700,01/05/2017,31/05/2017
Bermuda,Dollar (US),BMD,1.2810,01/05/2017,31/05/2017
Bhutan,Ngultrum,BTN,82.7200,01/05/2017,31/05/2017
Bolivia,Boliviano,BOB,8.8521,01/05/2017,31/05/2017
Bosnia- Herzegovinia,Marka,BAM,2.3384,01/05/2017,31/05/2017
Botswana,Pula,BWP,13.3700,01/05/2017,31/05/2017
Brazil,Real,BRL,4.0181,01/05/2017,31/05/2017
Brunei,Dollar,BND,1.7907,01/05/2017,31/05/2017
Bulgaria,Lev,BGN,2.3384,01/05/2017,31/05/2017
Burkina Faso,CFA Franc,XOF,784.2700,01/05/2017,31/05/2017
Burundi,Franc,BIF,2169.9900,01/05/2017,31/05/2017
Cambodia,Riel,KHR,5125.4700,01/05/2017,31/05/2017
Cameroon Republic,CFA Franc,XAF,784.2700,01/05/2017,31/05/2017
Canada,Dollar,CAD,1.7219,01/05/2017,31/05/2017
Cape Verde Islands,Escudo,CVE,132.3900,01/05/2017,31/05/2017
Cayman Islands,Dollar,KYD,1.0505,01/05/2017,31/05/2017
Central African Republic,CFA Franc,XAF,784.2700,01/05/2017,31/05/2017
Chad,CFA Franc,XAF,784.2700,01/05/2017,31/05/2017
Chile,Peso,CLP,831.7200,01/05/2017,31/05/2017
China,Yuan,CNY,8.8225,01/05/2017,31/05/2017
Colombia,Peso,COP,3647.4600,01/05/2017,31/05/2017
Comoros,Franc,KMF,588.2000,01/05/2017,31/05/2017
Congo (Brazaville),CFA Franc,XAF,784.2700,01/05/2017,31/05/2017
Congo (DemRep),Congo Fr,CDF,1780.6500,01/05/2017,31/05/2017
Costa Rica,Colon,CRC,718.9800,01/05/2017,31/05/2017
Cote d'Ivoire,CFA Franc,XOF,784.2700,01/05/2017,31/05/2017
Croatia,Kuna,HRK,8.9048,01/05/2017,31/05/2017
