Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.4941,01/05/2015,31/05/2015
Albania,Lek,ALL,194.66,01/05/2015,31/05/2015
Algeria,Dinar,DZD,146.8,01/05/2015,26/05/2015
Algeria,Dinar,DZD,154.7534,27/05/2015,31/05/2015
Angola,Readj Kwanza,AOA,163.56,01/05/2015,26/05/2015
Angola,Readj Kwanza,AOA,172.9545,27/05/2015,31/05/2015
Antigua,E Caribbean Dollar,XCD,4.0387,01/05/2015,26/05/2015
Antigua,E Caribbean Dollar,XCD,4.2639,27/05/2015,31/05/2015
Argentina,Peso,ARS,13.34,01/05/2015,19/05/2015
Argentina,Peso,ARS,14.05,20/05/2015,31/05/2015
Armenia,Dram,AMD,706.43,01/05/2015,19/05/2015
Armenia,Dram,AMD,741.86,20/05/2015,26/05/2015
Armenia,Dram,AMD,760.7662,27/05/2015,31/05/2015
Aruba,Florin,AWG,2.6775,01/05/2015,26/05/2015
Aruba,Florin,AWG,2.8268,27/05/2015,31/05/2015
Australia,Dollar,AUD,1.9379,01/05/2015,31/05/2015
Azerbaijan,New Manat,AZN,1.5734,01/05/2015,26/05/2015
Azerbaijan,New Manat,AZN,1.6561,27/05/2015,31/05/2015
Bahamas,Dollar,BSD,1.504,01/05/2015,31/05/2015
Bahrain,Dinar,BHD,0.5638,01/05/2015,26/05/2015
Bahrain,Dinar,BHD,0.5954,27/05/2015,31/05/2015
Bangladesh,Taka,BDT,116.33,01/05/2015,26/05/2015
Bangladesh,Taka,BDT,122.8779,27/05/2015,31/05/2015
Barbados,Dollar,BBD,2.9916,01/05/2015,26/05/2015
Barbados,Dollar,BBD,3.1584,27/05/2015,31/05/2015
Belarus,Rouble,BYR,21315.14,01/05/2015,26/05/2015
Belarus,Rouble,BYR,22424.7426,27/05/2015,31/05/2015
Belize,Dollar,BZD,2.9841,01/05/2015,26/05/2015
Belize,Dollar,BZD,3.1505,27/05/2015,31/05/2015
Benin,CFA Franc,XOF,910.64,01/05/2015,31/05/2015
Bermuda,Dollar (US),BMD,1.504,01/05/2015,31/05/2015
Bhutan,Ngultrum,BTN,94.54,01/05/2015,31/05/2015
Bolivia,Boliviano,BOB,10.336,01/05/2015,26/05/2015
Bolivia,Boliviano,BOB,10.8965,27/05/2015,31/05/2015
Bosnia- Herzegovinia,Marka,BAM,2.7152,01/05/2015,31/05/2015
Botswana,Pula,BWP,14.83,01/05/2015,31/05/2015
Brazil,Real,BRL,4.5252,01/05/2015,31/05/2015
Brunei,Dollar,BND,2.0137,01/05/2015,31/05/2015
Bulgaria,Lev,BGN,2.7152,01/05/2015,31/05/2015
Burkina Faso,CFA Franc,XOF,910.64,01/05/2015,31/05/2015
Burundi,Franc,BIF,2348.4,01/05/2015,26/05/2015
Burundi,Franc,BIF,2473.272,27/05/2015,31/05/2015
Cambodia,Riel,KHR,5968.22,01/05/2015,26/05/2015
Cambodia,Riel,KHR,6340.5082,27/05/2015,31/05/2015
Cameroon Republic,CFA Franc,XAF,910.64,01/05/2015,31/05/2015
Canada,Dollar,CAD,1.8427,01/05/2015,31/05/2015
Cape Verde Islands,Escudo,CVE,152.94,01/05/2015,31/05/2015
Cayman Islands,Dollar,KYD,1.2266,01/05/2015,26/05/2015
Cayman Islands,Dollar,KYD,1.2949,27/05/2015,31/05/2015
Central African Republic,CFA Franc,XAF,910.64,01/05/2015,31/05/2015
Chad,CFA Franc,XAF,910.64,01/05/2015,31/05/2015
Chile,Peso,CLP,917.22,01/05/2015,31/05/2015
China,Yuan,CNY,9.2706,01/05/2015,26/05/2015
China,Yuan,CNY,9.8007,27/05/2015,31/05/2015
Colombia,Peso,COP,3736.72,01/05/2015,31/05/2015
Comoros,Franc,KMF,682.98,01/05/2015,31/05/2015
Congo (Brazaville),CFA Franc,XAF,910.64,01/05/2015,31/05/2015
Congo (DemRep),Congo Fr,CDF,1388.09,01/05/2015,26/05/2015
Congo (DemRep),Congo Fr,CDF,1457.6063,27/05/2015,31/05/2015
Costa Rica,Colon,CRC,793.37,01/05/2015,26/05/2015
Costa Rica,Colon,CRC,839.7423,27/05/2015,31/05/2015
Cote d'Ivoire,CFA Franc,XOF,910.64,01/05/2015,31/05/2015
Croatia,Kuna,HRK,10.5,01/05/2015,31/05/2015
Cuba,Peso,CUP,1.4958,01/05/2015,26/05/2015
Cuba,Peso,CUP,1.5792,27/05/2015,31/05/2015
Czech Republic,Koruna,CZK,38.11,01/05/2015,31/05/2015
Denmark,Krone,DKK,10.46,01/05/2015,31/05/2015
Djibouti,Franc,DJF,265.83,01/05/2015,26/05/2015
Djibouti,Franc,DJF,280.6563,27/05/2015,31/05/2015
Dominica,E Caribbean Dollar,XCD,4.0387,01/05/2015,26/05/2015
Dominica,E Caribbean Dollar,XCD,4.2639,27/05/2015,31/05/2015
Dominican Republic,Peso,DOP,66.96,01/05/2015,26/05/2015
Dominican Republic,Peso,DOP,70.8116,27/05/2015,31/05/2015
Dubai,Dirham,AED,5.4941,01/05/2015,31/05/2015
