Country,Currency,Currency code,Currency units per £1 ,Start date,End date,,
Italy,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Jamaica,Dollar,JMD,182.625,01/10/2014,31/10/2014,,
Japan,Yen,JPY,175.464,01/10/2014,31/10/2014,,
Jordan,Dinar,JOD,1.1496,01/10/2014,31/10/2014,,
Kazakhstan,Tenge,KZT,295.279,01/10/2014,31/10/2014,,
Kenya,Schilling,KES,144.114,01/10/2014,31/10/2014,,
Korea,Won,KPW,2.1098,01/10/2014,31/10/2014,,
Kuwait,Dinar,KWD,0.4651,01/10/2014,31/10/2014,,
Kyrgyz Republic,Som,KGS,87.5355,01/10/2014,31/10/2014,,
Lao People's Dem Republic,Kip,LAK,12991.3,01/10/2014,31/10/2014,,
Latvia,LV,EUR,1.2597,01/10/2014,31/10/2014,,
Lebanon,Pound,LBP,2455.45,01/10/2014,31/10/2014,,
Lesotho,Loti,LSL,17.8661,01/10/2014,31/10/2014,,
Liberia,Dollar,LRD,1.6325,01/10/2014,31/10/2014,,
Libya,Dinar,LYD,1.9751,01/10/2014,31/10/2014,,
Lithuania,Litas,LTL,4.3311,01/10/2014,31/10/2014,,
Luxembourg,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Macao,Pataca,MOP,12.9563,01/10/2014,31/10/2014,,
Macedonia,Denar,MKD,77.2258,01/10/2014,31/10/2014,,
Madagascar,Malagasy Ariary,MGA,4219.54,01/10/2014,31/10/2014,,
Malawi,Kwacha,MWK,641.049,01/10/2014,21/10/2014,,
Malawi,Kwacha,MWK,679.925,22/10/2014,31/10/2014,,
Malaysia,Ringgit,MYR,5.2524,01/10/2014,31/10/2014,,
Maldive Islands,Rufiyaa,MVR,24.944,01/10/2014,31/10/2014,,
Mali Republic,CFA Franc,XOF,822.811,01/10/2014,31/10/2014,,
Malta,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Mauritania,Ouguiya,MRO,474.699,01/10/2014,31/10/2014,,
Mauritius,Rupee,MUR,50.667,01/10/2014,31/10/2014,,
Mexico,Mexican Peso,MXN,21.515,01/10/2014,31/10/2014,,
Moldova,Leu,MDL,23.1831,01/10/2014,31/10/2014,,
Mongolia,Tugrik,MNT,2986.95,01/10/2014,31/10/2014,,
