Country,Currency,Currency Code,Currency units per £ 1,Start date,End date
Maldive Islands,Rufiyaa,MVR,20.28,01/11/2017,30/11/2017
Mali Republic,CFA Franc,XOF,733.57,01/11/2017,30/11/2017
Mauritania,Ouguiya,MRO,467.79,01/11/2017,30/11/2017
Mauritius,Rupee,MUR,44.84,01/11/2017,30/11/2017
Mexico,Mexican Peso,MXN,24.83,01/11/2017,30/11/2017
Moldova,Leu,MDL,22.78,01/11/2017,30/11/2017
Mongolia,Tugrik,MNT,3230.6,01/11/2017,30/11/2017
Montserrat,E Caribbean Dollar,XCD,3.55,01/11/2017,30/11/2017
Morocco,Dirham,MAD,12.41,01/11/2017,30/11/2017
Mozambique,Metical,MZN,80.47,01/11/2017,30/11/2017
Myanmar,Kyat,MMK,1801.19,01/11/2017,30/11/2017
Nepal,Rupee,NPR,137.2,01/11/2017,30/11/2017
New Caledonia,CFP Franc,XPF,133.45,01/11/2017,30/11/2017
New Zealand,Dollar,NZD,1.8447,01/11/2017,30/11/2017
Nicaragua,Gold Cordoba,NIO,40.14,01/11/2017,30/11/2017
Niger Republic,CFA Franc,XOF,733.57,01/11/2017,30/11/2017
Nigeria,Naira,NGN,474.77,01/11/2017,30/11/2017
Norway,Norwegian Krone,NOK,10.48,01/11/2017,30/11/2017
Oman,Rial,OMR,0.5068,01/11/2017,30/11/2017
Pakistan,Rupee,PKR,138.77,01/11/2017,30/11/2017
Panama,Balboa,PAB,1.317,01/11/2017,30/11/2017
Papua New Guinea,Kina,PGK,4.1951,01/11/2017,30/11/2017
Paraguay,Guarani,PYG,7430.88,01/11/2017,30/11/2017
Peru,New Sol,PEN,4.273,01/11/2017,30/11/2017
Philippines,Peso,PHP,67.7,01/11/2017,30/11/2017
Poland,Zloty,PLN,4.735,01/11/2017,30/11/2017
Qatar,Riyal,QAR,4.7964,01/11/2017,30/11/2017
Romania,New Leu,RON,5.1309,01/11/2017,30/11/2017
Russia,Rouble,RUB,75.55,01/11/2017,30/11/2017
Rwanda,Franc,RWF,1124.09,01/11/2017,30/11/2017
Saotome and Principe,Dobra,STD,27327.8,01/11/2017,30/11/2017
Saudi Arabia,Riyal,SAR,4.9394,01/11/2017,30/11/2017
Senegal,CFA Franc,XOF,733.57,01/11/2017,30/11/2017
Serbia,Dinar,RSD,133.12,01/11/2017,30/11/2017
Seychelles,Rupee,SCR,17.97,01/11/2017,30/11/2017
Sierra Leone,Leone,SLL,10075.06,01/11/2017,30/11/2017
Singapore,Dollar,SGD,1.7884,01/11/2017,30/11/2017
Soloman Islands,Dollar,SBD,10.2,01/11/2017,30/11/2017
Somali Republic,Schilling,SOS,777.03,01/11/2017,30/11/2017
South Africa,Rand,ZAR,17.85,01/11/2017,30/11/2017
South Korea,Won,KRW,1488.08,01/11/2017,30/11/2017
Sri Lanka,Rupee,LKR,202.32,01/11/2017,30/11/2017
St Christopher and Anguilla,E Caribbean Dollar,XCD,3.55,01/11/2017,30/11/2017
St Lucia,E Caribbean Dollar,XCD,3.55,01/11/2017,30/11/2017
St Vincent,E Caribbean Dollar,XCD,3.55,01/11/2017,30/11/2017
Sudan Republic,Pound,SDG,8.7938,01/11/2017,30/11/2017
Surinam,Dollar,SRD,9.7959,01/11/2017,30/11/2017
Swaziland,Lilangeni,SZL,17.85,01/11/2017,30/11/2017
Sweden,Krona,SEK,10.73,01/11/2017,30/11/2017
Switzerland,Franc,CHF,1.293,01/11/2017,30/11/2017
Taiwan,Dollar,TWD,39.75,01/11/2017,30/11/2017
Tanzania,Schilling,TZS,2961.28,01/11/2017,30/11/2017
Thailand,Baht,THB,43.65,01/11/2017,30/11/2017
Togo Republic,CFA Franc,XOF,733.57,01/11/2017,30/11/2017
Tonga Islands,Pa'anga (AUS),TOP,1.6807,01/11/2017,30/11/2017
Trinidad and Tobago,Dollar,TTD,8.8812,01/11/2017,30/11/2017
Tunisia,Dinar,TND,3.2735,01/11/2017,30/11/2017
Turkey,Turkish  Lira,TRY,4.8413,01/11/2017,30/11/2017
Turkmenistan,New Manat,TMT,4.6095,01/11/2017,30/11/2017
UAE,Dirham,AED,4.8375,01/11/2017,30/11/2017
Uganda,Schilling,UGX,4809.69,01/11/2017,30/11/2017
Ukraine,Hryvnia,UAH,34.8,01/11/2017,30/11/2017
Uruguay,Peso,UYU,38.82,01/11/2017,30/11/2017
USA,Dollar,USD,1.317,01/11/2017,30/11/2017
Uzbekistan,Sum,UZS,10613.42,01/11/2017,30/11/2017
Vanuatu,Vatu,VUV,143.12,01/11/2017,30/11/2017
Venezuela,Bolivar Fuerte,VEF,13.15,01/11/2017,30/11/2017
Vietnam,Dong,VND,29921.66,01/11/2017,30/11/2017
Wallis and Futuna Islands,CFP Franc,XPF,133.45,01/11/2017,30/11/2017
Western Samoa,Tala,WST,3.2851,01/11/2017,30/11/2017
Yemen (Rep of),Rial,YER,329.61,01/11/2017,30/11/2017
Zambia,Kwacha,ZMW,12.79,01/11/2017,30/11/2017
Zimbabwe,Dollar,ZWL,476.62,01/11/2017,30/11/2017
