Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6517,01/07/2017,31/07/2017
Albania,Lek,ALL,150.7073,01/07/2017,31/07/2017
Algeria,Dinar,DZD,137.8358,01/07/2017,31/07/2017
Angola,Readj Kwanza,AOA,210.1246,01/07/2017,31/07/2017
Antigua,E Caribbean Dollar,XCD,3.4194,01/07/2017,31/07/2017
Argentina,Peso,ARS,20.7982,01/07/2017,31/07/2017
Armenia,Dram,AMD,608.4523,01/07/2017,31/07/2017
Aruba,Florin,AWG,2.2669,01/07/2017,31/07/2017
Australia,Dollar,AUD,1.6771,01/07/2017,31/07/2017
Azerbaijan,New Manat,AZN,2.153,01/07/2017,31/07/2017
Bahamas,Dollar,BSD,1.2664,01/07/2017,31/07/2017
Bahrain,Dinar,BHD,0.4778,01/07/2017,31/07/2017
Bangladesh,Taka,BDT,102.0504,01/07/2017,31/07/2017
Barbados,Dollar,BBD,2.5329,01/07/2017,31/07/2017
Belarus,Rouble,BYN,2.5424,01/07/2017,31/07/2017
Belize,Dollar,BZD,2.5313,01/07/2017,31/07/2017
Benin,CFA Franc,XOF,745.5222,01/07/2017,31/07/2017
Bermuda,Dollar (US),BMD,1.2664,01/07/2017,31/07/2017
Bhutan,Ngultrum,BTN,81.6972,01/07/2017,31/07/2017
Bolivia,Boliviano,BOB,8.7512,01/07/2017,31/07/2017
Bosnia- Herzegovinia,Marka,BAM,2.2229,01/07/2017,31/07/2017
Botswana,Pula,BWP,13.0293,01/07/2017,31/07/2017
Brazil,Real,BRL,4.2112,01/07/2017,31/07/2017
Brunei,Dollar,BND,1.7619,01/07/2017,31/07/2017
Bulgaria,Lev,BGN,2.2231,01/07/2017,31/07/2017
Burkina Faso,CFA Franc,XOF,745.5222,01/07/2017,31/07/2017
Burundi,Franc,BIF,2188.3969,01/07/2017,31/07/2017
Cambodia,Riel,KHR,5186.1045,01/07/2017,31/07/2017
Cameroon Republic,CFA Franc,XAF,745.5222,01/07/2017,31/07/2017
Canada,Dollar,CAD,1.6829,01/07/2017,31/07/2017
Cape Verde Islands,Escudo,CVE,125.8533,01/07/2017,31/07/2017
Cayman Islands,Dollar,KYD,1.0385,01/07/2017,31/07/2017
Central African Republic,CFA Franc,XAF,745.5222,01/07/2017,31/07/2017
Chad,CFA Franc,XAF,745.5222,01/07/2017,31/07/2017
Chile,Peso,CLP,841.3584,01/07/2017,31/07/2017
China,Yuan,CNY,8.6487,01/07/2017,31/07/2017
Colombia,Peso,COP,3866.9476,01/07/2017,31/07/2017
Comoros,Franc,KMF,559.1417,01/07/2017,31/07/2017
Congo (Brazaville),CFA Franc,XAF,745.5222,01/07/2017,31/07/2017
Congo (DemRep),Congo Fr,CDF,1859.1459,01/07/2017,31/07/2017
Costa Rica,Colon,CRC,723.1355,01/07/2017,31/07/2017
Cote d'Ivoire,CFA Franc,XOF,745.5222,01/07/2017,31/07/2017
Croatia,Kuna,HRK,8.4298,01/07/2017,31/07/2017
Cuba,Peso,CUP,1.2664,01/07/2017,31/07/2017
Czech Republic,Koruna,CZK,29.9183,01/07/2017,31/07/2017
Denmark,Krone,DKK,8.4546,01/07/2017,31/07/2017
Djibouti,Franc,DJF,225.0731,01/07/2017,31/07/2017
Dominica,E Caribbean Dollar,XCD,3.4194,01/07/2017,31/07/2017
Dominican Republic,Peso,DOP,59.8777,01/07/2017,31/07/2017
Dubai,Dirham,AED,4.6517,01/07/2017,31/07/2017
Ecuador,Dollar,ECS,1.2664,01/07/2017,31/07/2017
Egypt,Pound,EGP,22.9715,01/07/2017,31/07/2017
El Salvador,Colon,SVC,11.0833,01/07/2017,31/07/2017
Equatorial Guinea,CFA Franc,XAF,745.5222,01/07/2017,31/07/2017
Eritrea,Nakfa,ERN,18.9967,01/07/2017,31/07/2017
Ethiopia,Birr,ETB,29.343,01/07/2017,31/07/2017
Eurozone,Euro,EUR,1.1365,01/07/2017,31/07/2017
