Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.2242,01/02/2018,28/02/2018
Albania,Lek,ALL,153.42,01/02/2018,28/02/2018
Algeria,Dinar,DZD,161.66,01/02/2018,28/02/2018
Angola,Readj Kwanza,AOA,288.06,01/02/2018,28/02/2018
Antigua,E Caribbean Dollar,XCD,3.8402,01/02/2018,28/02/2018
Argentina,Peso,ARS,27.78,01/02/2018,28/02/2018
Armenia,Dram,AMD,683.79,01/02/2018,28/02/2018
Aruba,Florin,AWG,2.5459,01/02/2018,28/02/2018
Australia,Dollar,AUD,1.7621,01/02/2018,28/02/2018
Azerbaijan,New Manat,AZN,2.403,01/02/2018,28/02/2018
Bahamas,Dollar,BSD,1.4223,01/02/2018,28/02/2018
Bahrain,Dinar,BHD,0.5362,01/02/2018,28/02/2018
Bangladesh,Taka,BDT,118.44,01/02/2018,28/02/2018
Barbados,Dollar,BBD,2.8446,01/02/2018,28/02/2018
Belarus,Rouble,BYN,2.758,01/02/2018,28/02/2018
Belize,Dollar,BZD,2.8428,01/02/2018,28/02/2018
Benin,CFA Franc,XOF,753.48,01/02/2018,28/02/2018
Bermuda,Dollar (US),BMD,1.4223,01/02/2018,28/02/2018
Bhutan,Ngultrum,BTN,90.56,01/02/2018,28/02/2018
Bolivia,Boliviano,BOB,9.828,01/02/2018,28/02/2018
Bosnia- Herzegovinia,Marka,BAM,2.2466,01/02/2018,28/02/2018
Botswana,Pula,BWP,13.64,01/02/2018,28/02/2018
Brazil,Real,BRL,4.5276,01/02/2018,28/02/2018
Brunei,Dollar,BND,1.8616,01/02/2018,28/02/2018
Bulgaria,Lev,BGN,2.2467,01/02/2018,28/02/2018
Burkina Faso,CFA Franc,XOF,753.48,01/02/2018,28/02/2018
Burundi,Franc,BIF,2501.5,01/02/2018,28/02/2018
Cambodia,Riel,KHR,5711.92,01/02/2018,28/02/2018
Cameroon Republic,CFA Franc,XAF,753.48,01/02/2018,28/02/2018
Canada,Dollar,CAD,1.7562,01/02/2018,28/02/2018
Cape Verde Islands,Escudo,CVE,127.22,01/02/2018,28/02/2018
Cayman Islands,Dollar,KYD,1.1663,01/02/2018,28/02/2018
Central African Republic,CFA Franc,XAF,753.48,01/02/2018,28/02/2018
Chad,CFA Franc,XAF,753.48,01/02/2018,28/02/2018
Chile,Peso,CLP,857.21,01/02/2018,28/02/2018
China,Yuan,CNY,9.0852,01/02/2018,28/02/2018
Colombia,Peso,COP,4002.43,01/02/2018,28/02/2018
Comoros,Franc,KMF,565.11,01/02/2018,28/02/2018
Congo (Brazaville),CFA Franc,XAF,753.48,01/02/2018,28/02/2018
Congo (DemRep),Congo Fr,CDF,2269.98,01/02/2018,28/02/2018
Costa Rica,Colon,CRC,809.46,01/02/2018,28/02/2018
Cote d'Ivoire,CFA Franc,XOF,753.48,01/02/2018,28/02/2018
Croatia,Kuna,HRK,8.5372,01/02/2018,28/02/2018
Cuba,Peso,CUP,1.4223,01/02/2018,28/02/2018
Czech Republic,Koruna,CZK,29.14,01/02/2018,28/02/2018
Denmark,Krone,DKK,8.5527,01/02/2018,28/02/2018
Djibouti,Franc,DJF,252.76,01/02/2018,28/02/2018
Dominica,E Caribbean Dollar,XCD,3.8402,01/02/2018,28/02/2018
Dominican Republic,Peso,DOP,69.12,01/02/2018,28/02/2018
Dubai,Dirham,AED,5.2242,01/02/2018,28/02/2018
Ecuador,Dollar,ECS,1.4223,01/02/2018,28/02/2018
Egypt,Pound,EGP,25.16,01/02/2018,28/02/2018
El Salvador,Colon,SVC,12.45,01/02/2018,28/02/2018
Equatorial Guinea,CFA Franc,XAF,753.48,01/02/2018,28/02/2018
Eritrea,Nakfa,ERN,21.33,01/02/2018,28/02/2018
Ethiopia,Birr,ETB,38.9,01/02/2018,28/02/2018
Eurozone,Euro,EUR,1.1487,01/02/2018,28/02/2018
Fiji Islands,Dollar,FJD,2.8475,01/02/2018,28/02/2018
