Country,Currency,Currency Code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.2556,01/02/2016,29/02/2016
Albania,Lek,ALL,182.15,01/02/2016,29/02/2016
Algeria,Dinar,DZD,153.45,01/02/2016,29/02/2016
Angola,Readj Kwanza,AOA,222.51,01/02/2016,29/02/2016
Antigua,E Caribbean Dollar,XCD,3.8634,01/02/2016,29/02/2016
Argentina,Peso,ARS,19,01/02/2016,09/02/2016
Argentina,Peso,ARS,20.62,10/02/2016,29/02/2016
Armenia,Dram,AMD,693.61,01/02/2016,29/02/2016
Aruba,Florin,AWG,2.5613,01/02/2016,29/02/2016
Australia,Dollar,AUD,2.0442,01/02/2016,29/02/2016
Azerbaijan,New Manat,AZN,2.2397,01/02/2016,29/02/2016
Bahamas,Dollar,BSD,1.4144,01/02/2016,29/02/2016
Bahrain,Dinar,BHD,0.5395,01/02/2016,29/02/2016
Bangladesh,Taka,BDT,112.29,01/02/2016,29/02/2016
Barbados,Dollar,BBD,2.8618,01/02/2016,29/02/2016
Belarus,Rouble,BYR,28403.44,01/02/2016,02/02/2016
Belarus,Rouble,BYR,29888.66,03/02/2016,23/02/2016
Belarus,Rouble,BYR,31848.65,24/02/2016,29/02/2016
Belize,Dollar,BZD,2.8546,01/02/2016,29/02/2016
Benin,CFA Franc,XOF,857.02,01/02/2016,29/02/2016
Bermuda,Dollar (US),BMD,1.4144,01/02/2016,29/02/2016
Bhutan,Ngultrum,BTN,95.67,01/02/2016,29/02/2016
Bolivia,Boliviano,BOB,9.8875,01/02/2016,29/02/2016
Bosnia- Herzegovinia,Marka,BAM,2.5554,01/02/2016,29/02/2016
Botswana,Pula,BWP,16.72,01/02/2016,29/02/2016
Brazil,Real,BRL,5.7247,01/02/2016,29/02/2016
Brunei,Dollar,BND,2.0606,01/02/2016,29/02/2016
Bulgaria,Lev,BGN,2.5555,01/02/2016,29/02/2016
Burkina Faso,CFA Franc,XOF,857.02,01/02/2016,29/02/2016
Burundi,Franc,BIF,2246.51,01/02/2016,29/02/2016
Cambodia,Riel,KHR,5783.13,01/02/2016,29/02/2016
Cameroon Republic,CFA Franc,XAF,857.02,01/02/2016,29/02/2016
Canada,Dollar,CAD,2.0539,01/02/2016,29/02/2016
Cape Verde Islands,Escudo,CVE,144.64,01/02/2016,29/02/2016
Cayman Islands,Dollar,KYD,1.1733,01/02/2016,29/02/2016
Central African Republic,CFA Franc,XAF,857.02,01/02/2016,29/02/2016
Chad,CFA Franc,XAF,857.02,01/02/2016,29/02/2016
Chile,Peso,CLP,1046.59,01/02/2016,29/02/2016
China,Yuan,CNY,9.4253,01/02/2016,29/02/2016
Colombia,Peso,COP,4711.24,01/02/2016,29/02/2016
Comoros,Franc,KMF,642.76,01/02/2016,29/02/2016
Congo (Brazaville),CFA Franc,XAF,857.02,01/02/2016,29/02/2016
Congo (DemRep),Congo Fr,CDF,1322.15,01/02/2016,29/02/2016
Costa Rica,Colon,CRC,763.72,01/02/2016,29/02/2016
Cote d'Ivoire,CFA Franc,XOF,857.02,01/02/2016,29/02/2016
Croatia,Kuna,HRK,10.01,01/02/2016,29/02/2016
Cuba,Peso,CUP,1.4309,01/02/2016,29/02/2016
Czech Republic,Koruna,CZK,35.3,01/02/2016,29/02/2016
Denmark,Krone,DKK,9.68,01/02/2016,29/02/2016
Djibouti,Franc,DJF,254.29,01/02/2016,29/02/2016
Dominica,E Caribbean Dollar,XCD,3.8634,01/02/2016,29/02/2016
Dominican Republic,Peso,DOP,64.84,01/02/2016,29/02/2016
Dubai,Dirham,AED,5.2556,01/02/2016,29/02/2016
Ecuador,Dollar,ECS,1.4144,01/02/2016,29/02/2016
Egypt,Pound,EGP,11.2,01/02/2016,29/02/2016
El Salvador,Colon,SVC,12.51,01/02/2016,29/02/2016
Equatorial Guinea,CFA Franc,XAF,857.02,01/02/2016,29/02/2016
Eritrea,Nakfa,ERN,21.46,01/02/2016,29/02/2016
Ethiopia,Birr,ETB,30.36,01/02/2016,29/02/2016
Eurozone,Euro,EUR,1.2978,01/02/2016,29/02/2016
Fiji Islands,Dollar,FJD,3.1147,01/02/2016,29/02/2016
Fr. Polynesia,CFP Franc,XPF,155.9,01/02/2016,29/02/2016
