Country,Currency,Currency code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.7607,01/10/2016,31/10/2016
Albania,Lek,ALL,159.38,01/10/2016,31/10/2016
Algeria,Dinar,DZD,141.76,01/10/2016,31/10/2016
Angola,Readj Kwanza,AOA,214.81,01/10/2016,31/10/2016
Antigua,E Caribbean Dollar,XCD,3.4994,01/10/2016,31/10/2016
Argentina,Peso,ARS,19.61,01/10/2016,31/10/2016
Armenia,Dram,AMD,613.77,01/10/2016,31/10/2016
Aruba,Florin,AWG,2.32,01/10/2016,31/10/2016
Australia,Dollar,AUD,1.7116,01/10/2016,31/10/2016
Azerbaijan,New Manat,AZN,2.1325,01/10/2016,31/10/2016
Bahamas,Dollar,BSD,1.2961,01/10/2016,31/10/2016
Bahrain,Dinar,BHD,0.4886,01/10/2016,31/10/2016
Bangladesh,Taka,BDT,101.65,01/10/2016,31/10/2016
Barbados,Dollar,BBD,2.5922,01/10/2016,31/10/2016
Belarus,Rouble,BYR,2.6019,01/10/2016,31/10/2016
Belize,Dollar,BZD,2.5857,01/10/2016,31/10/2016
Benin,CFA Franc,XOF,763.17,01/10/2016,31/10/2016
Bermuda,Dollar (US),BMD,1.2961,01/10/2016,31/10/2016
Bhutan,Ngultrum,BTN,86.85,01/10/2016,31/10/2016
Bolivia,Boliviano,BOB,8.9819,01/10/2016,31/10/2016
Bosnia- Herzegovinia,Marka,BAM,2.2755,01/10/2016,31/10/2016
Botswana,Pula,BWP,13.59,01/10/2016,31/10/2016
Brazil,Real,BRL,4.203,01/10/2016,31/10/2016
Brunei,Dollar,BND,1.7625,01/10/2016,31/10/2016
Bulgaria,Lev,BGN,2.2757,01/10/2016,31/10/2016
Burkina Faso,CFA Franc,XOF,763.17,01/10/2016,31/10/2016
Burundi,Franc,BIF,2164.44,01/10/2016,31/10/2016
Cambodia,Riel,KHR,5313.97,01/10/2016,31/10/2016
Cameroon Republic,CFA Franc,XAF,763.17,01/10/2016,31/10/2016
Canada,Dollar,CAD,1.7119,01/10/2016,31/10/2016
Cape Verde Islands,Escudo,CVE,127.6,01/10/2016,31/10/2016
Cayman Islands,Dollar,KYD,1.0628,01/10/2016,31/10/2016
Central African Republic,CFA Franc,XAF,763.17,01/10/2016,31/10/2016
Chad,CFA Franc,XAF,763.17,01/10/2016,31/10/2016
Chile,Peso,CLP,863.8,01/10/2016,31/10/2016
China,Yuan,CNY,8.6466,01/10/2016,31/10/2016
Colombia,Peso,COP,3753.35,01/10/2016,31/10/2016
Comoros,Franc,KMF,572.38,01/10/2016,31/10/2016
