Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.3697,01/06/2016,30/06/2016
Albania,Lek,ALL,179.11,01/06/2016,30/06/2016
Algeria,Dinar,DZD,160.69,01/06/2016,30/06/2016
Angola,Readj Kwanza,AOA,242.29,01/06/2016,30/06/2016
Antigua,E Caribbean Dollar,XCD,3.9473,01/06/2016,30/06/2016
Argentina,Peso,ARS,20.62,01/06/2016,30/06/2016
Armenia,Dram,AMD,698.81,01/06/2016,30/06/2016
Aruba,Florin,AWG,2.6169,01/06/2016,30/06/2016
Australia,Dollar,AUD,2.01,01/06/2016,30/06/2016
Azerbaijan,New Manat,AZN,2.1931,01/06/2016,30/06/2016
Bahamas,Dollar,BSD,1.4619,01/06/2016,30/06/2016
Bahrain,Dinar,BHD,0.5512,01/06/2016,30/06/2016
Bangladesh,Taka,BDT,114.58,01/06/2016,30/06/2016
Barbados,Dollar,BBD,2.9239,01/06/2016,30/06/2016
Belarus,Rouble,BYR,28383.69,01/06/2016,30/06/2016
Belize,Dollar,BZD,2.9166,01/06/2016,30/06/2016
Benin,CFA Franc,XOF,850.19,01/06/2016,30/06/2016
Bermuda,Dollar (US),BMD,1.4619,01/06/2016,30/06/2016
Bhutan,Ngultrum,BTN,97.92,01/06/2016,30/06/2016
Bolivia,Boliviano,BOB,10.06,01/06/2016,30/06/2016
Bosnia- Herzegovinia,Marka,BAM,2.5349,01/06/2016,30/06/2016
Botswana,Pula,BWP,16.38,01/06/2016,30/06/2016
Brazil,Real,BRL,5.1669,01/06/2016,30/06/2016
Brunei,Dollar,BND,2.014,01/06/2016,30/06/2016
Bulgaria,Lev,BGN,2.5349,01/06/2016,30/06/2016
Burkina Faso,CFA Franc,XOF,850.19,01/06/2016,30/06/2016
Burundi,Franc,BIF,2283.34,01/06/2016,30/06/2016
Cambodia,Riel,KHR,5936.96,01/06/2016,30/06/2016
Cameroon Republic,CFA Franc,XAF,850.19,01/06/2016,30/06/2016
Canada,Dollar,CAD,1.8916,01/06/2016,30/06/2016
Cape Verde Islands,Escudo,CVE,142.83,01/06/2016,30/06/2016
Cayman Islands,Dollar,KYD,1.1988,01/06/2016,30/06/2016
Central African Republic,CFA Franc,XAF,850.19,01/06/2016,30/06/2016
Chad,CFA Franc,XAF,850.19,01/06/2016,30/06/2016
Chile,Peso,CLP,1010.02,01/06/2016,30/06/2016
China,Yuan,CNY,9.5547,01/06/2016,30/06/2016
Colombia,Peso,COP,4430.04,01/06/2016,30/06/2016
Comoros,Franc,KMF,637.64,01/06/2016,30/06/2016
Congo (Brazaville),CFA Franc,XAF,850.19,01/06/2016,30/06/2016
Congo (DemRep),Congo Fr,CDF,1356.68,01/06/2016,30/06/2016
Costa Rica,Colon,CRC,783.35,01/06/2016,30/06/2016
Cote d'Ivoire,CFA Franc,XOF,850.19,01/06/2016,30/06/2016
Croatia,Kuna,HRK,9.7059,01/06/2016,30/06/2016
Cuba,Peso,CUP,1.4619,01/06/2016,30/06/2016
Czech Republic,Koruna,CZK,35.02,01/06/2016,30/06/2016
Denmark,Krone,DKK,9.6388,01/06/2016,30/06/2016
Djibouti,Franc,DJF,259.81,01/06/2016,30/06/2016
Dominica,E Caribbean Dollar,XCD,3.9473,01/06/2016,30/06/2016
Dominican Republic,Peso,DOP,67.11,01/06/2016,30/06/2016
Dubai,Dirham,AED,5.3697,01/06/2016,30/06/2016
Ecuador,Dollar,ECS,1.4619,01/06/2016,30/06/2016
Egypt,Pound,EGP,12.98,01/06/2016,30/06/2016
El Salvador,Colon,SVC,12.77,01/06/2016,30/06/2016
Equatorial Guinea,CFA Franc,XAF,850.19,01/06/2016,30/06/2016
Eritrea,Nakfa,ERN,21.92,01/06/2016,30/06/2016
Ethiopia,Birr,ETB,31.65,01/06/2016,30/06/2016
Eurozone,Euro,EUR,1.2961,01/06/2016,30/06/2016
Fiji Islands,Dollar,FJD,3.0856,01/06/2016,30/06/2016
Fr. Polynesia,CFP Franc,XPF,154.66,01/06/2016,30/06/2016
Gabon,CFA Franc,XAF,850.19,01/06/2016,30/06/2016
Gambia,Dalasi,GMD,62.61,01/06/2016,30/06/2016
Georgia,Lari,GEL,3.1432,01/06/2016,30/06/2016
Ghana,Cedi,GHS,5.6175,01/06/2016,30/06/2016
Grenada,E Caribbean Dollar,XCD,3.9473,01/06/2016,30/06/2016
Guatemala,Quetzal,GTQ,11.16,01/06/2016,30/06/2016
Guinea Bissau,CFA Franc,XOF,850.19,01/06/2016,30/06/2016
Guinea Republic,Franc,GNF,10748.22,01/06/2016,30/06/2016
Guyana,Dollar,GYD,301.21,01/06/2016,30/06/2016
Haiti,Gourde,HTG,90.7,01/06/2016,30/06/2016
Honduras,Lempira,HNL,33.02,01/06/2016,30/06/2016
Hong Kong,Dollar,HKD,11.35,01/06/2016,30/06/2016
Hungary,Forint,HUF,409.89,01/06/2016,30/06/2016
Iceland,Krona,ISK,181.13,01/06/2016,30/06/2016
India,Rupee,INR,97.92,01/06/2016,30/06/2016
Indonesia,Rupiah,IDR,19573.99,01/06/2016,30/06/2016
Iraq,Dinar,IQD,1727.28,01/06/2016,30/06/2016
Israel,Shekel,ILS,5.6133,01/06/2016,30/06/2016
Jamaica,Dollar,JMD,181.28,01/06/2016,30/06/2016
Japan,Yen,JPY,160.22,01/06/2016,30/06/2016
Jordan,Dinar,JOD,1.0353,01/06/2016,30/06/2016
Kazakhstan,Tenge,KZT,482.2,01/06/2016,30/06/2016
Kenya,Schilling,KES,147.72,01/06/2016,30/06/2016
Kuwait,Dinar,KWD,0.4414,01/06/2016,30/06/2016
Kyrgyz Republic,Som,KGS,99.92,01/06/2016,30/06/2016
Lao People's Dem Rep,Kip,LAK,11849.06,01/06/2016,30/06/2016
Lebanon,Pound,LBP,2204.17,01/06/2016,30/06/2016
Lesotho,Loti,LSL,23.01,01/06/2016,30/06/2016
Liberia,Dollar (US),LRD,1.4619,01/06/2016,30/06/2016
Libya,Dinar,LYD,1.9078,01/06/2016,30/06/2016
