Country,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5737,01/03/2017,31/03/2017
Albania,Lek,ALL,159.39,01/03/2017,31/03/2017
Algeria,Dinar,DZD,137.19,01/03/2017,31/03/2017
Angola,Readj Kwanza,AOA,206.4,01/03/2017,31/03/2017
Antigua,E Caribbean Dollar,XCD,3.3622,01/03/2017,31/03/2017
Argentina,Peso,ARS,19.26,01/03/2017,31/03/2017
Armenia,Dram,AMD,605.96,01/03/2017,31/03/2017
Aruba,Florin,AWG,2.229,01/03/2017,31/03/2017
Australia,Dollar,AUD,1.621,01/03/2017,31/03/2017
Azerbaijan,New Manat,AZN,2.2035,01/03/2017,31/03/2017
Bahamas,Dollar,BSD,1.2453,01/03/2017,31/03/2017
Bahrain,Dinar,BHD,0.4695,01/03/2017,31/03/2017
Bangladesh,Taka,BDT,99.8,01/03/2017,31/03/2017
Barbados,Dollar,BBD,2.4905,01/03/2017,31/03/2017
Belarus,Rouble,BYN,2.4998,01/03/2017,31/03/2017
Belize,Dollar,BZD,2.503,01/03/2017,31/03/2017
Benin,CFA Franc,XOF,772.52,01/03/2017,31/03/2017
Bermuda,Dollar (US),BMD,1.2453,01/03/2017,31/03/2017
Bhutan,Ngultrum,BTN,83.3,01/03/2017,31/03/2017
Bolivia,Boliviano,BOB,8.6296,01/03/2017,31/03/2017
Bosnia- Herzegovinia,Marka,BAM,2.3034,01/03/2017,31/03/2017
Botswana,Pula,BWP,12.97,01/03/2017,31/03/2017
Brazil,Real,BRL,3.8135,01/03/2017,31/03/2017
Brunei,Dollar,BND,1.7717,01/03/2017,31/03/2017
Bulgaria,Lev,BGN,2.3035,01/03/2017,31/03/2017
Burkina Faso,CFA Franc,XOF,772.52,01/03/2017,31/03/2017
Burundi,Franc,BIF,2102.18,01/03/2017,31/03/2017
Cambodia,Riel,KHR,4993.46,01/03/2017,31/03/2017
Cameroon Republic,CFA Franc,XAF,772.52,01/03/2017,31/03/2017
Canada,Dollar,CAD,1.6296,01/03/2017,31/03/2017
Cape Verde Islands,Escudo,CVE,130,01/03/2017,31/03/2017
Cayman Islands,Dollar,KYD,1.0211,01/03/2017,31/03/2017
Central African Republic,CFA Franc,XAF,772.52,01/03/2017,31/03/2017
Chad,CFA Franc,XAF,772.52,01/03/2017,31/03/2017
