Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.5445,01/01/2017,31/01/2017
Albania,Lek,ALL,159.51,01/01/2017,31/01/2017
Algeria,Dinar,DZD,137.51,01/01/2017,31/01/2017
Angola,Readj Kwanza,AOA,205.09,01/01/2017,31/01/2017
Antigua,E Caribbean Dollar,XCD,3.341,01/01/2017,31/01/2017
Argentina,Peso,ARS,19.6,01/01/2017,31/01/2017
Armenia,Dram,AMD,594.79,01/01/2017,31/01/2017
Aruba,Florin,AWG,2.2149,01/01/2017,31/01/2017
Australia,Dollar,AUD,1.7066,01/01/2017,31/01/2017
Azerbaijan,New Manat,AZN,2.2128,01/01/2017,31/01/2017
Bahamas,Dollar,BSD,1.2374,01/01/2017,31/01/2017
Bahrain,Dinar,BHD,0.4666,01/01/2017,31/01/2017
Bangladesh,Taka,BDT,97.35,01/01/2017,31/01/2017
Barbados,Dollar,BBD,2.4748,01/01/2017,31/01/2017
Belarus,Rouble,BYN,2.4841,01/01/2017,31/01/2017
Belize,Dollar,BZD,2.4686,01/01/2017,31/01/2017
Benin,CFA Franc,XOF,777.99,01/01/2017,31/01/2017
Bermuda,Dollar (US),BMD,1.2374,01/01/2017,31/01/2017
Bhutan,Ngultrum,BTN,83.99,01/01/2017,31/01/2017
Bolivia,Boliviano,BOB,8.5937,01/01/2017,31/01/2017
Bosnia- Herzegovinia,Marka,BAM,2.3197,01/01/2017,31/01/2017
Botswana,Pula,BWP,13.34,01/01/2017,31/01/2017
Brazil,Real,BRL,4.1276,01/01/2017,31/01/2017
Brunei,Dollar,BND,1.7859,01/01/2017,31/01/2017
Bulgaria,Lev,BGN,2.3199,01/01/2017,31/01/2017
Burkina Faso,CFA Franc,XOF,777.99,01/01/2017,31/01/2017
Burundi,Franc,BIF,2091.19,01/01/2017,31/01/2017
Cambodia,Riel,KHR,4999.07,01/01/2017,31/01/2017
Cameroon Republic,CFA Franc,XAF,777.99,01/01/2017,31/01/2017
Canada,Dollar,CAD,1.6579,01/01/2017,31/01/2017
Cape Verde Islands,Escudo,CVE,131.06,01/01/2017,31/01/2017
Cayman Islands,Dollar,KYD,1.0147,01/01/2017,31/01/2017
Central African Republic,CFA Franc,XAF,777.99,01/01/2017,31/01/2017
Chad,CFA Franc,XAF,777.99,01/01/2017,31/01/2017
Chile,Peso,CLP,830.99,01/01/2017,31/01/2017
China,Yuan,CNY,8.6015,01/01/2017,31/01/2017
Colombia,Peso,COP,3711.36,01/01/2017,31/01/2017
Comoros,Franc,KMF,583.49,01/01/2017,31/01/2017
Congo (Brazaville),CFA Franc,XAF,777.99,01/01/2017,31/01/2017
Congo (DemRep),Congo Fr,CDF,1440.32,01/01/2017,31/01/2017
Costa Rica,Colon,CRC,682.31,01/01/2017,31/01/2017
Cote d'Ivoire,CFA Franc,XOF,777.99,01/01/2017,31/01/2017
Croatia,Kuna,HRK,8.9345,01/01/2017,31/01/2017
Cuba,Peso,CUP,1.2374,01/01/2017,31/01/2017
Czech Republic,Koruna,CZK,32.04,01/01/2017,31/01/2017
Denmark,Krone,DKK,8.8187,01/01/2017,31/01/2017
Djibouti,Franc,DJF,219.9,01/01/2017,31/01/2017
Dominica,E Caribbean Dollar,XCD,3.341,01/01/2017,31/01/2017
Dominican Republic,Peso,DOP,57.37,01/01/2017,31/01/2017
Dubai,Dirham,AED,4.5445,01/01/2017,31/01/2017
Ecuador,Dollar,ECS,1.2374,01/01/2017,31/01/2017
Egypt,Pound,EGP,23.54,01/01/2017,31/01/2017
El Salvador,Colon,SVC,10.8,01/01/2017,31/01/2017
Equatorial Guinea,CFA Franc,XAF,777.99,01/01/2017,31/01/2017
Eritrea,Nakfa,ERN,18.56,01/01/2017,31/01/2017
Ethiopia,Birr,ETB,27.8,01/01/2017,31/01/2017
Eurozone,Euro,EUR,1.186,01/01/2017,31/01/2017
Fiji Islands,Dollar,FJD,2.6347,01/01/2017,31/01/2017
Fr. Polynesia,CFP Franc,XPF,141.53,01/01/2017,31/01/2017
Gabon,CFA Franc,XAF,777.99,01/01/2017,31/01/2017
Gambia,Dalasi,GMD,52.82,01/01/2017,31/01/2017
Georgia,Lari,GEL,3.4833,01/01/2017,31/01/2017
Ghana,Cedi,GHS,5.228,01/01/2017,31/01/2017
Grenada,E Caribbean Dollar,XCD,3.341,01/01/2017,31/01/2017
Guatemala,Quetzal,GTQ,9.2464,01/01/2017,31/01/2017
Guinea Bissau,CFA Franc,XOF,777.99,01/01/2017,31/01/2017
Guinea Republic,Franc,GNF,11573.35,01/01/2017,31/01/2017
Guyana,Dollar,GYD,255.71,01/01/2017,31/01/2017
Haiti,Gourde,HTG,83.3,01/01/2017,31/01/2017
Honduras,Lempira,HNL,29.04,01/01/2017,31/01/2017
Hong Kong,Dollar,HKD,9.6068,01/01/2017,31/01/2017
Hungary,Forint,HUF,367.85,01/01/2017,31/01/2017
Iceland,Krona,ISK,140.55,01/01/2017,31/01/2017
India,Rupee,INR,83.99,01/01/2017,31/01/2017
Indonesia,Rupiah,IDR,16666.47,01/01/2017,31/01/2017
Iraq,Dinar,IQD,1462.59,01/01/2017,31/01/2017
Israel,Shekel,ILS,4.737,01/01/2017,31/01/2017
Jamaica,Dollar,JMD,159.37,01/01/2017,31/01/2017
Japan,Yen,JPY,145.63,01/01/2017,31/01/2017
Jordan,Dinar,JOD,0.8776,01/01/2017,31/01/2017
Kazakhstan,Tenge,KZT,411.35,01/01/2017,31/01/2017
