Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,6.172,01/05/14,31/05/14
Afghanistan,Afghani,AFN,92.6545,01/05/14,31/05/14
Albania,Lek,ALL,170.304,01/05/14,31/05/14
Algeria,Dinar,DZD,132.147,01/05/14,31/05/14
Angola,Readj Kwanza,AOA,164.042,01/05/14,31/05/14
Antigua,E Caribbean Dollar,XCD,4.537,01/05/14,31/05/14
Argentina,Peso,ARS,13.4245,01/05/14,31/05/14
Armenia,Dram,AMD,696.505,01/05/14,31/05/14
Aruba,Florin,AWG,3.0079,01/05/14,31/05/14
Australia,Dollar,AUD,1.8063,01/05/14,31/05/14
Austria,Euro,EUR,1.2132,01/05/14,31/05/14
Azerbaijan,New Manat,AZN,1.3161,01/05/14,31/05/14
Bahamas,Dollar,BSD,1.6778,01/05/14,31/05/14
Bahrain,Dinar,BHD,0.6335,01/05/14,31/05/14
Bangladesh,Taka,BDT,130.429,01/05/14,31/05/14
Barbados,Dollar,BBD,3.3607,01/05/14,31/05/14
Belarus,Rouble,BYR,16753.1,01/05/14,31/05/14
Belgium,Euro,EUR,1.2132,01/05/14,31/05/14
Belize,Dollar,BZD,3.3607,01/05/14,31/05/14
Benin,CFA Franc,XOF,798.491,01/05/14,31/05/14
Bermuda,Dollar,BMD,1.6778,01/05/14,31/05/14
Bhutan,Ngultrum,BTN,102.438,01/05/14,31/05/14
Bolivia,Boliviano,BOB,11.6113,01/05/14,31/05/14
Bosnia- Herzegovinia,Marka,BAM,2.3808,01/05/14,31/05/14
Botswana,Pula,BWP,14.7013,01/05/14,31/05/14
Brazil,Real,BRL,3.7635,01/05/14,31/05/14
Brunei,Dollar,BND,2.1049,01/05/14,31/05/14
Bulgaria,Lev,BGN,2.3754,01/05/14,31/05/14
Burkina Faso,CFA Franc,XOF,798.491,01/05/14,31/05/14
Burundi,Franc,BIF,2596.01,01/05/14,31/05/14
Cambodia,Riel,KHR,6696.19,01/05/14,31/05/14
Cameroon Republic,CFA Franc,XAF,798.491,01/05/14,31/05/14
Canada,Dollar,CAD,1.8523,01/05/14,31/05/14
Cape Verde Islands,Escudo,CVE,132.109,01/05/14,31/05/14
Cayman Islands,Dollar,KYD,1.3779,01/05/14,31/05/14
Central African Republic,CFA Franc,XAF,798.491,01/05/14,31/05/14
Chad,CFA Franc,XAF,798.491,01/05/14,31/05/14
