Country,Currency,Currency code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.7931,01/08/2018,31/08/2018
Albania,Lek,ALL,141.29,01/08/2018,31/08/2018
Algeria,Dinar,DZD,153.91,01/08/2018,31/08/2018
Angola,Readj Kwanza,AOA,330.86,01/08/2018,31/08/2018
Antigua,E Caribbean Dollar,XCD,3.5232,01/08/2018,31/08/2018
Argentina,Peso,ARS,36.13,01/08/2018,31/08/2018
Armenia,Dram,AMD,626.74,01/08/2018,31/08/2018
Aruba,Florin,AWG,2.3358,01/08/2018,31/08/2018
Australia,Dollar,AUD,1.7683,01/08/2018,31/08/2018
Azerbaijan,New Manat,AZN,2.2203,01/08/2018,31/08/2018
Bahamas,Dollar,BSD,1.3049,01/08/2018,31/08/2018
Bahrain,Dinar,BHD,0.492,01/08/2018,31/08/2018
Bangladesh,Taka,BDT,109.27,01/08/2018,31/08/2018
Barbados,Dollar,BBD,2.6098,01/08/2018,31/08/2018
Belarus,Rouble,BYN,2.5928,01/08/2018,31/08/2018
Belize,Dollar,BZD,2.6082,01/08/2018,31/08/2018
Benin,CFA Franc,XOF,735.2,01/08/2018,31/08/2018
Bermuda,Dollar (US),BMD,1.3049,01/08/2018,31/08/2018
Bhutan,Ngultrum,BTN,89.56,01/08/2018,31/08/2018
Bolivia,Boliviano,BOB,9.0169,01/08/2018,31/08/2018
Bosnia- Herzegovinia,Marka,BAM,2.1921,01/08/2018,31/08/2018
Botswana,Pula,BWP,13.4,01/08/2018,31/08/2018
Brazil,Real,BRL,5.0198,01/08/2018,31/08/2018
Brunei,Dollar,BND,1.7823,01/08/2018,31/08/2018
Bulgaria,Lev,BGN,2.1921,01/08/2018,31/08/2018
Burkina Faso,CFA Franc,XOF,735.2,01/08/2018,31/08/2018
Burundi,Franc,BIF,2329.25,01/08/2018,31/08/2018
Cambodia,Riel,KHR,5296.6,01/08/2018,31/08/2018
Cameroon Republic,CFA Franc,XAF,735.2,01/08/2018,31/08/2018
Canada,Dollar,CAD,1.7251,01/08/2018,31/08/2018
Cape Verde Islands,Escudo,CVE,123.97,01/08/2018,31/08/2018
Cayman Islands,Dollar,KYD,1.07,01/08/2018,31/08/2018
Central African Republic,CFA Franc,XAF,735.2,01/08/2018,31/08/2018
Chad,CFA Franc,XAF,735.2,01/08/2018,31/08/2018
Chile,Peso,CLP,856.68,01/08/2018,31/08/2018
China,Yuan,CNY,8.7618,01/08/2018,31/08/2018
Colombia,Peso,COP,3765.96,01/08/2018,31/08/2018
Comoros,Franc,KMF,551.4,01/08/2018,31/08/2018
Congo (Brazaville),CFA Franc,XAF,735.2,01/08/2018,31/08/2018
Congo (DemRep),Congo Fr,CDF,2115.24,01/08/2018,31/08/2018
Costa Rica,Colon,CRC,740.35,01/08/2018,31/08/2018
Cote d'Ivoire,CFA Franc,XOF,735.2,01/08/2018,31/08/2018
Croatia,Kuna,HRK,8.2867,01/08/2018,31/08/2018
Cuba,Peso,CUP,1.3049,01/08/2018,31/08/2018
Czech Republic,Koruna,CZK,28.97,01/08/2018,31/08/2018
Denmark,Krone,DKK,8.355,01/08/2018,31/08/2018
Djibouti,Franc,DJF,231.9,01/08/2018,31/08/2018
Dominica,E Caribbean Dollar,XCD,3.5232,01/08/2018,31/08/2018
Dominican Republic,Peso,DOP,64.39,01/08/2018,31/08/2018
Dubai,Dirham,AED,4.7931,01/08/2018,31/08/2018
Ecuador,Dollar,ECS,1.3049,01/08/2018,31/08/2018
Egypt,Pound,EGP,23.35,01/08/2018,31/08/2018
El Salvador,Colon,SVC,11.42,01/08/2018,31/08/2018
Equatorial Guinea,CFA Franc,XAF,735.2,01/08/2018,31/08/2018
Eritrea,Nakfa,ERN,19.57,01/08/2018,31/08/2018
Ethiopia,Birr,ETB,35.82,01/08/2018,31/08/2018
Eurozone,Euro,EUR,1.1208,01/08/2018,31/08/2018
Fiji Islands,Dollar,FJD,2.7317,01/08/2018,31/08/2018
Fr. Polynesia,CFP Franc,XPF,133.74,01/08/2018,31/08/2018
Gabon,CFA Franc,XAF,735.2,01/08/2018,31/08/2018
Gambia,Dalasi,GMD,62.83,01/08/2018,31/08/2018
Georgia,Lari,GEL,3.2009,01/08/2018,31/08/2018
Ghana,Cedi,GHS,6.2668,01/08/2018,31/08/2018
Grenada,E Caribbean Dollar,XCD,3.5232,01/08/2018,31/08/2018
Guatemala,Quetzal,GTQ,9.7613,01/08/2018,31/08/2018
Guinea Bissau,CFA Franc,XOF,735.2,01/08/2018,31/08/2018
Guinea Republic,Franc,GNF,11787.85,01/08/2018,31/08/2018
Guyana,Dollar,GYD,272.94,01/08/2018,31/08/2018
Haiti,Gourde,HTG,87.66,01/08/2018,31/08/2018
Honduras,Lempira,HNL,31.3,01/08/2018,31/08/2018
Hong Kong,Dollar,HKD,10.24,01/08/2018,31/08/2018
Hungary,Forint,HUF,363.48,01/08/2018,31/08/2018
Iceland,Krona,ISK,139.42,01/08/2018,31/08/2018
India,Rupee,INR,89.56,01/08/2018,31/08/2018
Indonesia,Rupiah,IDR,18797.16,01/08/2018,31/08/2018
Iraq,Dinar,IQD,1554.14,01/08/2018,31/08/2018
Israel,Shekel,ILS,4.7515,01/08/2018,31/08/2018
Jamaica,Dollar,JMD,170.84,01/08/2018,31/08/2018
Japan,Yen,JPY,147.17,01/08/2018,31/08/2018
Jordan,Dinar,JOD,0.9265,01/08/2018,31/08/2018
Kazakhstan,Tenge,KZT,450.21,01/08/2018,31/08/2018
Kenya,Schilling,KES,131.33,01/08/2018,31/08/2018
Kuwait,Dinar,KWD,0.3954,01/08/2018,31/08/2018
Kyrgyz Republic,Som,KGS,88.94,01/08/2018,31/08/2018
Lao People's Dem Rep,Kip,LAK,11014.69,01/08/2018,31/08/2018
Lebanon,Pound,LBP,1971.05,01/08/2018,31/08/2018
Lesotho,Loti,LSL,17.31,01/08/2018,31/08/2018
Liberia,Dollar (US),LRD,1.3049,01/08/2018,31/08/2018
Libya,Dinar,LYD,1.7877,01/08/2018,31/08/2018
Macao,Pataca,MOP,10.55,01/08/2018,31/08/2018
Macedonia,Denar,MKD,69.01,01/08/2018,31/08/2018
Madagascar,Malagasy Ariary,MGA,4332.28,01/08/2018,31/08/2018
Malawi,Kwacha,MWK,946.98,01/08/2018,31/08/2018
Malaysia,Ringgit,MYR,5.2966,01/08/2018,31/08/2018
Maldive Islands,Rufiyaa,MVR,20.09,01/08/2018,31/08/2018
Mali Republic,CFA Franc,XOF,735.2,01/08/2018,31/08/2018
Mauritania,Ouguiya,MRO,466.24,01/08/2018,31/08/2018
Mauritius,Rupee,MUR,45.08,01/08/2018,31/08/2018
Mexico,Mexican Peso,MXN,24.78,01/08/2018,31/08/2018
Moldova,Leu,MDL,21.76,01/08/2018,31/08/2018
Mongolia,Tugrik,MNT,3214.63,01/08/2018,31/08/2018
Montserrat,E Caribbean Dollar,XCD,3.5232,01/08/2018,31/08/2018
Morocco,Dirham,MAD,12.37,01/08/2018,31/08/2018
Mozambique,Metical,MZN,76.33,01/08/2018,31/08/2018
