Country,Currency,Currency code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.644,01/01/2019,31/01/2019
Albania,Lek,ALL,136.03,01/01/2019,31/01/2019
Algeria,Dinar,DZD,149.82,01/01/2019,31/01/2019
Angola,Readj Kwanza,AOA,389.84,01/01/2019,31/01/2019
Antigua,E Caribbean Dollar,XCD,3.4136,01/01/2019,31/01/2019
Argentina,Peso,ARS,48.39,01/01/2019,31/01/2019
Armenia,Dram,AMD,612.61,01/01/2019,31/01/2019
Aruba,Florin,AWG,2.2631,01/01/2019,31/01/2019
Australia,Dollar,AUD,1.7617,01/01/2019,31/01/2019
Azerbaijan,New Manat,AZN,2.1449,01/01/2019,31/01/2019
Bahamas,Dollar,BSD,1.2643,01/01/2019,31/01/2019
Bahrain,Dinar,BHD,0.4766,01/01/2019,31/01/2019
Bangladesh,Taka,BDT,106.2,01/01/2019,31/01/2019
Barbados,Dollar,BBD,2.5286,01/01/2019,31/01/2019
Belarus,Rouble,BYN,2.698,01/01/2019,31/01/2019
Belize,Dollar,BZD,2.527,01/01/2019,31/01/2019
Benin,CFA Franc,XOF,726.07,01/01/2019,31/01/2019
Bermuda,Dollar (US),BMD,1.2643,01/01/2019,31/01/2019
Bhutan,Ngultrum,BTN,89.01,01/01/2019,31/01/2019
Bolivia,Boliviano,BOB,8.7363,01/01/2019,31/01/2019
Bosnia- Herzegovinia,Marka,BAM,2.1649,01/01/2019,31/01/2019
Botswana,Pula,BWP,13.45,01/01/2019,31/01/2019
Brazil,Real,BRL,4.8927,01/01/2019,31/01/2019
Brunei,Dollar,BND,1.7309,01/01/2019,31/01/2019
Bulgaria,Lev,BGN,2.1649,01/01/2019,31/01/2019
Burkina Faso,CFA Franc,XOF,726.07,01/01/2019,31/01/2019
Burundi,Franc,BIF,2303.47,01/01/2019,31/01/2019
Cambodia,Riel,KHR,5087.42,01/01/2019,31/01/2019
Cameroon Republic,CFA Franc,XAF,726.07,01/01/2019,31/01/2019
Canada,Dollar,CAD,1.6965,01/01/2019,31/01/2019
Cape Verde Islands,Escudo,CVE,122.27,01/01/2019,31/01/2019
Cayman Islands,Dollar,KYD,1.0367,01/01/2019,31/01/2019
Central African Republic,CFA Franc,XAF,726.07,01/01/2019,31/01/2019
Chad,CFA Franc,XAF,726.07,01/01/2019,31/01/2019
Chile,Peso,CLP,869.65,01/01/2019,31/01/2019
China,Yuan,CNY,8.718,01/01/2019,31/01/2019
Colombia,Peso,COP,4066.94,01/01/2019,31/01/2019
Comoros,Franc,KMF,544.55,01/01/2019,31/01/2019
Congo (Brazaville),CFA Franc,XAF,726.07,01/01/2019,31/01/2019
Congo (DemRep),Congo Fr,CDF,2055.75,01/01/2019,31/01/2019
Costa Rica,Colon,CRC,756.47,01/01/2019,31/01/2019
Cote d'Ivoire,CFA Franc,XOF,726.07,01/01/2019,31/01/2019
Croatia,Kuna,HRK,8.2137,01/01/2019,31/01/2019
Cuba,Peso,CUP,1.2643,01/01/2019,31/01/2019
Czech Republic,Koruna,CZK,28.5,01/01/2019,31/01/2019
Denmark,Krone,DKK,8.2659,01/01/2019,31/01/2019
Djibouti,Franc,DJF,224.69,01/01/2019,31/01/2019
Dominica,E Caribbean Dollar,XCD,3.4136,01/01/2019,31/01/2019
