Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.588,01/01/2016,31/01/2016
Albania,Lek,ALL,190.97,01/01/2016,31/01/2016
Algeria,Dinar,DZD,162.49,01/01/2016,31/01/2016
Angola,Readj Kwanza,AOA,205.87,01/01/2016,19/01/2016
Angola,Readj Kwanza,AOA,226.08,20/01/2016,31/01/2016
Antigua,E Caribbean Dollar,XCD,4.1079,01/01/2016,31/01/2016
Argentina,Peso,ARS,14.69,01/01/2016,31/01/2016
Armenia,Dram,AMD,737.58,01/01/2016,31/01/2016
Aruba,Florin,AWG,2.7234,01/01/2016,31/01/2016
Australia,Dollar,AUD,2.0859,01/01/2016,31/01/2016
Azerbaijan,New Manat,AZN,1.5923,01/01/2016,05/01/2016
Azerbaijan,New Manat,AZN,2.3226,06/01/2016,31/01/2016
Bahamas,Dollar,BSD,1.5003,01/01/2016,31/01/2016
Bahrain,Dinar,BHD,0.574,01/01/2016,31/01/2016
Bangladesh,Taka,BDT,120.12,01/01/2016,19/01/2016
Bangladesh,Taka,BDT,114.01,20/01/2016,31/01/2016
Barbados,Dollar,BBD,3.0429,01/01/2016,31/01/2016
Belarus,Rouble,BYR,27751.18,01/01/2016,31/01/2016
Belize,Dollar,BZD,3.0353,01/01/2016,31/01/2016
Benin,CFA Franc,XOF,907.52,01/01/2016,31/01/2016
Bermuda,Dollar (US),BMD,1.5003,01/01/2016,31/01/2016
Bhutan,Ngultrum,BTN,100.19,01/01/2016,31/01/2016
Bolivia,Boliviano,BOB,10.51,01/01/2016,31/01/2016
Bosnia- Herzegovinia,Marka,BAM,2.706,01/01/2016,31/01/2016
Botswana,Pula,BWP,17.24,01/01/2016,31/01/2016
Brazil,Real,BRL,5.9232,01/01/2016,31/01/2016
Brunei,Dollar,BND,2.1499,01/01/2016,31/01/2016
Bulgaria,Lev,BGN,2.7059,01/01/2016,31/01/2016
Burkina Faso,CFA Franc,XOF,907.52,01/01/2016,31/01/2016
Burundi,Franc,BIF,2375.2,01/01/2016,31/01/2016
Cambodia,Riel,KHR,6160.32,01/01/2016,31/01/2016
Cameroon Republic,CFA Franc,XAF,907.52,01/01/2016,31/01/2016
Canada,Dollar,CAD,2.0746,01/01/2016,31/01/2016
Cape Verde Islands,Escudo,CVE,151.61,01/01/2016,31/01/2016
Cayman Islands,Dollar,KYD,1.2476,01/01/2016,31/01/2016
Central African Republic,CFA Franc,XAF,907.52,01/01/2016,31/01/2016
Chad,CFA Franc,XAF,907.52,01/01/2016,31/01/2016
Chile,Peso,CLP,1079.1,01/01/2016,31/01/2016
China,Yuan,CNY,9.8214,01/01/2016,31/01/2016
Colombia,Peso,COP,5022.29,01/01/2016,05/01/2016
Colombia,Peso,COP,4733.76,06/01/2016,31/01/2016
Comoros,Franc,KMF,680.64,01/01/2016,31/01/2016
Congo (Brazaville),CFA Franc,XAF,907.52,01/01/2016,31/01/2016
Congo (DemRep),Congo Fr,CDF,1410.37,01/01/2016,31/01/2016
Costa Rica,Colon,CRC,808.29,01/01/2016,31/01/2016
Cote d'Ivoire,CFA Franc,XOF,907.52,01/01/2016,31/01/2016
Croatia,Kuna,HRK,10.56,01/01/2016,31/01/2016
Cuba,Peso,CUP,1.5214,01/01/2016,31/01/2016
Czech Republic,Koruna,CZK,37.38,01/01/2016,31/01/2016
Denmark,Krone,DKK,10.22,01/01/2016,26/01/2016
