Country,Currency,Country code,Currency units per £1,Start Date,End Date
Malaysia,Ringgit,MYR,5.2991,01/06/2019,30/06/2019
Maldive Islands,Rufiyaa,MVR,19.55,01/06/2019,30/06/2019
Mali Republic,CFA Franc,XOF,744.46,01/06/2019,30/06/2019
Mauritania,Ouguiya,MRO,452.3,01/06/2019,30/06/2019
Mauritius,Rupee,MUR,44.74,01/06/2019,30/06/2019
Mexico,Mexican Peso,MXN,24.01,01/06/2019,30/06/2019
Moldova,Leu,MDL,22.76,01/06/2019,30/06/2019
Mongolia,Tugrik,MNT,3348.94,01/06/2019,30/06/2019
Montserrat,E Caribbean Dollar,XCD,3.4179,01/06/2019,30/06/2019
Morocco,Dirham,MAD,12.26,01/06/2019,30/06/2019
Mozambique,Metical,MZN,80.32,01/06/2019,30/06/2019
Myanmar,Kyat,MMK,1947.71,01/06/2019,30/06/2019
Nepal,Rupee,NPR,141.1,01/06/2019,30/06/2019
New Caledonia,CFP Franc,XPF,135.43,01/06/2019,30/06/2019
New Zealand,Dollar,NZD,1.9495,01/06/2019,30/06/2019
Nicaragua,Gold Cordoba,NIO,41.7,01/06/2019,30/06/2019
Niger Republic,CFA Franc,XOF,744.46,01/06/2019,30/06/2019
Nigeria,Naira,NGN,456.35,01/06/2019,30/06/2019
Norway,Norwegian Krone,NOK,11.08,01/06/2019,30/06/2019
Oman,Rial,OMR,0.4874,01/06/2019,30/06/2019
Pakistan,Rupee,PKR,191.1,01/06/2019,30/06/2019
Panama,Balboa,PAB,1.2659,01/06/2019,30/06/2019
Papua New Guinea,Kina,PGK,4.2722,01/06/2019,30/06/2019
Paraguay,Guarani,PYG,8005.57,01/06/2019,30/06/2019
Peru,New Sol,PEN,4.2351,01/06/2019,30/06/2019
Philippines,Peso,PHP,66.49,01/06/2019,30/06/2019
Poland,Zloty,PLN,4.8871,01/06/2019,30/06/2019
Qatar,Riyal,QAR,4.6095,01/06/2019,30/06/2019
Romania,New Leu,RON,5.407,01/06/2019,30/06/2019
Russia,Rouble,RUB,81.41,01/06/2019,30/06/2019
Rwanda,Franc,RWF,1145.64,01/06/2019,30/06/2019
Saotome & Principe,Dobra,STD,27849.9,01/06/2019,30/06/2019
Saudi Arabia,Riyal,SAR,4.7475,01/06/2019,30/06/2019
Senegal,CFA Franc,XOF,744.46,01/06/2019,30/06/2019
Serbia,Dinar,RSD,133.87,01/06/2019,30/06/2019
Seychelles,Rupee,SCR,17.6,01/06/2019,30/06/2019
Sierra Leone,Leone,SLL,10918.41,01/06/2019,30/06/2019
Singapore,Dollar,SGD,1.7459,01/06/2019,30/06/2019
Soloman Islands,Dollar,SBD,10.14,01/06/2019,30/06/2019
Somali Republic,Schilling,SOS,737.38,01/06/2019,30/06/2019
South Africa,Rand,ZAR,18.19,01/06/2019,30/06/2019
South Korea,Won,KRW,1510.22,01/06/2019,30/06/2019
Sri Lanka,Rupee,LKR,223.48,01/06/2019,30/06/2019
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.4179,01/06/2019,30/06/2019
St Lucia,E Caribbean Dollar,XCD,3.4179,01/06/2019,30/06/2019
St Vincent,E Caribbean Dollar,XCD,3.4179,01/06/2019,30/06/2019
Sudan Republic,Pound,SDG,57.1,01/06/2019,30/06/2019
Surinam,Dollar,SRD,9.4411,01/06/2019,30/06/2019
Swaziland,Lilangeni,SZL,18.19,01/06/2019,30/06/2019
Sweden,Krona,SEK,12.2,01/06/2019,30/06/2019
Switzerland,Franc,CHF,1.2775,01/06/2019,30/06/2019
Taiwan,Dollar,TWD,39.93,01/06/2019,30/06/2019
Tanzania,Schilling,TZS,2911.57,01/06/2019,30/06/2019
Thailand,Baht,THB,40.43,01/06/2019,30/06/2019
Togo Republic,CFA Franc,XOF,744.46,01/06/2019,30/06/2019
Tonga Islands,Pa'anga (AUS),TOP,1.8412,01/06/2019,30/06/2019
Trinidad/Tobago,Dollar,TTD,8.5564,01/06/2019,30/06/2019
Tunisia,Dinar,TND,3.7904,01/06/2019,30/06/2019
Turkey,Turkish  Lira,TRY,7.7285,01/06/2019,30/06/2019
Turkmenistan,New Manat,TMT,4.4433,01/06/2019,30/06/2019
UAE,Dirham,AED,4.6498,01/06/2019,30/06/2019
Uganda,Schilling,UGX,4761.41,01/06/2019,30/06/2019
Ukraine,Hryvnia,UAH,33.26,01/06/2019,30/06/2019
Uruguay,Peso,UYU,44.63,01/06/2019,30/06/2019
USA,Dollar,USD,1.2659,01/06/2019,30/06/2019
Uzbekistan,Sum,UZS,10710.7,01/06/2019,30/06/2019
Vanuatu,Vatu,VUV,147.72,01/06/2019,30/06/2019
Venezuela,Bolivar Fuerte,VEF,314572.93,01/06/2019,30/06/2019
Vietnam,Dong,VND,29590.52,01/06/2019,30/06/2019
Wallis & Futuna Islands,CFP Franc,XPF,135.43,01/06/2019,30/06/2019
Western Samoa,Tala,WST,3.3525,01/06/2019,30/06/2019
Yemen (Rep of),Rial,YER,316.77,01/06/2019,30/06/2019
Zambia,Kwacha,ZMW,17.17,01/06/2019,30/06/2019
Zimbabwe,Dollar,ZWL,458.13,01/06/2019,30/06/2019
