Country,Currency,Currency code,Currency units per ?1,Start date,End date
Malaysia,Ringgit,MYR,5.46,01/03/2018,31/03/2018
Maldive Islands,Rufiyaa,MVR,21.59,01/03/2018,31/03/2018
Mali Republic,CFA Franc,XOF,744.29,01/03/2018,31/03/2018
Mauritania,Ouguiya,MRO,492.95,01/03/2018,31/03/2018
Mauritius,Rupee,MUR,45.77,01/03/2018,31/03/2018
Mexico,Mexican Peso,MXN,26.05,01/03/2018,31/03/2018
Moldova,Leu,MDL,23.28,01/03/2018,31/03/2018
Mongolia,Tugrik,MNT,3350.66,01/03/2018,31/03/2018
Montserrat,E Caribbean Dollar,XCD,3.7742,01/03/2018,31/03/2018
Morocco,Dirham,MAD,12.86,01/03/2018,31/03/2018
Mozambique,Metical,MZN,85.48,01/03/2018,31/03/2018
Myanmar,Kyat,MMK,1860.61,01/03/2018,31/03/2018
Nepal,Rupee,NPR,144.8,01/03/2018,31/03/2018
New Caledonia,CFP Franc,XPF,135.4,01/03/2018,31/03/2018
New Zealand,Dollar,NZD,1.9044,01/03/2018,31/03/2018
Nicaragua,Gold Cordoba,NIO,43.34,01/03/2018,31/03/2018
Niger Republic,CFA Franc,XOF,744.29,01/03/2018,31/03/2018
Nigeria,Naira,NGN,503.22,01/03/2018,31/03/2018
Norway,Norwegian Krone,NOK,10.96,01/03/2018,31/03/2018
Oman,Rial,OMR,0.5382,01/03/2018,31/03/2018
Pakistan,Rupee,PKR,154.51,01/03/2018,31/03/2018
Panama,Balboa,PAB,1.3979,01/03/2018,31/03/2018
Papua New Guinea,Kina,PGK,4.5339,01/03/2018,31/03/2018
Paraguay,Guarani,PYG,7805.8,01/03/2018,31/03/2018
Peru,New Sol,PEN,4.5388,01/03/2018,31/03/2018
Philippines,Peso,PHP,72.84,01/03/2018,31/03/2018
Poland,Zloty,PLN,4.7275,01/03/2018,31/03/2018
Qatar,Riyal,QAR,5.0896,01/03/2018,31/03/2018
Romania,New Leu,RON,5.2881,01/03/2018,31/03/2018
Russia,Rouble,RUB,79.09,01/03/2018,31/03/2018
Rwanda,Franc,RWF,1198.66,01/03/2018,31/03/2018
Saotome & Principe,Dobra,STD,27943.2,01/03/2018,31/03/2018
Saudi Arabia,Riyal,SAR,5.2424,01/03/2018,31/03/2018
Senegal,CFA Franc,XOF,744.29,01/03/2018,31/03/2018
Serbia,Dinar,RSD,133.88,01/03/2018,31/03/2018
Seychelles,Rupee,SCR,19.32,01/03/2018,31/03/2018
Sierra Leone,Leone,SLL,10770.5,01/03/2018,31/03/2018
Singapore,Dollar,SGD,1.8454,01/03/2018,31/03/2018
Soloman Islands,Dollar,SBD,10.85,01/03/2018,31/03/2018
Somali Republic,Schilling,SOS,814.95,01/03/2018,31/03/2018
South Africa,Rand,ZAR,16.27,01/03/2018,31/03/2018
South Korea,Won,KRW,1504.16,01/03/2018,31/03/2018
Sri Lanka,Rupee,LKR,216.98,01/03/2018,31/03/2018
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.7742,01/03/2018,31/03/2018
St Lucia,E Caribbean Dollar,XCD,3.7742,01/03/2018,31/03/2018
St Vincent,E Caribbean Dollar,XCD,3.7742,01/03/2018,31/03/2018
Sudan Republic,Pound,SDG,25.29,01/03/2018,31/03/2018
Surinam,Dollar,SRD,10.43,01/03/2018,31/03/2018
Swaziland,Lilangeni,SZL,16.27,01/03/2018,31/03/2018
Sweden,Krona,SEK,11.31,01/03/2018,31/03/2018
Switzerland,Franc,CHF,1.3097,01/03/2018,31/03/2018
Taiwan,Dollar,TWD,40.82,01/03/2018,31/03/2018
Tanzania,Schilling,TZS,3149.37,01/03/2018,31/03/2018
Thailand,Baht,THB,44.02,01/03/2018,31/03/2018
Togo Republic,CFA Franc,XOF,744.29,01/03/2018,31/03/2018
Tonga Islands,Pa'anga (AUS),TOP,1.782,01/03/2018,31/03/2018
Trinidad/Tobago,Dollar,TTD,9.4397,01/03/2018,31/03/2018
Tunisia,Dinar,TND,3.3575,01/03/2018,31/03/2018
Turkey,Turkish  Lira,TRY,5.2924,01/03/2018,31/03/2018
Turkmenistan,New Manat,TMT,4.9065,01/03/2018,31/03/2018
UAE,Dirham,AED,5.1345,01/03/2018,31/03/2018
Uganda,Schilling,UGX,5088.2,01/03/2018,31/03/2018
Ukraine,Hryvnia,UAH,37.73,01/03/2018,31/03/2018
Uruguay,Peso,UYU,39.79,01/03/2018,31/03/2018
USA,Dollar,USD,1.3979,01/03/2018,31/03/2018
Uzbekistan,Sum,UZS,11438.31,01/03/2018,31/03/2018
Vanuatu,Vatu,VUV,149.67,01/03/2018,31/03/2018
Venezuela,Bolivar Fuerte,VEF,34915.01,01/03/2018,31/03/2018
Vietnam,Dong,VND,31755.91,01/03/2018,31/03/2018
Wallis & Futuna Islands,CFP Franc,XPF,135.4,01/03/2018,31/03/2018
Western Samoa,Tala,WST,3.4558,01/03/2018,31/03/2018
Yemen (Rep of),Rial,YER,349.88,01/03/2018,31/03/2018
Zambia,Kwacha,ZMW,13.73,01/03/2018,31/03/2018
Zimbabwe,Dollar,ZWL,505.88,01/03/2018,31/03/2018
