Country,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5336,01/02/2017,28/02/2017
Albania,Lek,ALL,158.4700,01/02/2017,28/02/2017
Algeria,Dinar,DZD,135.3200,01/02/2017,28/02/2017
Angola,Readj Kwanza,AOA,204.5800,01/02/2017,28/02/2017
Antigua,E Caribbean Dollar,XCD,3.3326,01/02/2017,28/02/2017
Argentina,Peso,ARS,19.7200,01/02/2017,28/02/2017
Armenia,Dram,AMD,600.6900,01/02/2017,28/02/2017
Aruba,Florin,AWG,2.2094,01/02/2017,28/02/2017
Australia,Dollar,AUD,1.6317,01/02/2017,28/02/2017
Azerbaijan,New Manat,AZN,2.2797,01/02/2017,28/02/2017
Bahamas,Dollar,BSD,1.2343,01/02/2017,28/02/2017
Bahrain,Dinar,BHD,0.4653,01/02/2017,28/02/2017
Bangladesh,Taka,BDT,97.6900,01/02/2017,28/02/2017
Barbados,Dollar,BBD,2.4686,01/02/2017,28/02/2017
Belarus,Rouble,BYN,2.4778,01/02/2017,28/02/2017
Belize,Dollar,BZD,2.4809,01/02/2017,28/02/2017
Benin,CFA Franc,XOF,757.1300,01/02/2017,28/02/2017
Bermuda,Dollar (US),BMD,1.2343,01/02/2017,28/02/2017
Bhutan,Ngultrum,BTN,84.0000,01/02/2017,28/02/2017
Bolivia,Boliviano,BOB,8.5537,01/02/2017,28/02/2017
Bosnia- Herzegovinia,Marka,BAM,2.2575,01/02/2017,28/02/2017
Botswana,Pula,BWP,13.0100,01/02/2017,28/02/2017
Brazil,Real,BRL,3.9721,01/02/2017,28/02/2017
Brunei,Dollar,BND,1.7544,01/02/2017,28/02/2017
Bulgaria,Lev,BGN,2.2577,01/02/2017,28/02/2017
Burkina Faso,CFA Franc,XOF,757.1300,01/02/2017,28/02/2017
Burundi,Franc,BIF,2070.0400,01/02/2017,28/02/2017
Cambodia,Riel,KHR,4980.3700,01/02/2017,28/02/2017
Cameroon Republic,CFA Franc,XAF,757.1300,01/02/2017,28/02/2017
Canada,Dollar,CAD,1.6162,01/02/2017,28/02/2017
Cape Verde Islands,Escudo,CVE,127.8100,01/02/2017,28/02/2017
Cayman Islands,Dollar,KYD,1.0100,01/02/2017,28/02/2017
Central African Republic,CFA Franc,XAF,757.1300,01/02/2017,28/02/2017
Chad,CFA Franc,XAF,757.1300,01/02/2017,28/02/2017
Chile,Peso,CLP,813.8800,01/02/2017,28/02/2017
China,Yuan,CNY,8.4354,01/02/2017,28/02/2017
Colombia,Peso,COP,3623.0900,01/02/2017,28/02/2017
Comoros,Franc,KMF,567.8500,01/02/2017,28/02/2017
Congo (Brazaville),CFA Franc,XAF,757.1300,01/02/2017,28/02/2017
Congo (DemRep),Congo Fr,CDF,1518.1800,01/02/2017,28/02/2017
Costa Rica,Colon,CRC,678.4600,01/02/2017,28/02/2017
Cote d'Ivoire,CFA Franc,XOF,757.1300,01/02/2017,28/02/2017
Croatia,Kuna,HRK,8.6904,01/02/2017,28/02/2017
Cuba,Peso,CUP,1.2343,01/02/2017,28/02/2017
Czech Republic,Koruna,CZK,31.1800,01/02/2017,28/02/2017
Denmark,Krone,DKK,8.5831,01/02/2017,28/02/2017
Djibouti,Franc,DJF,219.3500,01/02/2017,28/02/2017
Dominica,E Caribbean Dollar,XCD,3.3326,01/02/2017,28/02/2017
Dominican Republic,Peso,DOP,57.6200,01/02/2017,28/02/2017
Dubai,Dirham,AED,4.5336,01/02/2017,28/02/2017
Ecuador,Dollar,ECS,1.2343,01/02/2017,28/02/2017
Egypt,Pound,EGP,23.3200,01/02/2017,28/02/2017
El Salvador,Colon,SVC,10.8000,01/02/2017,28/02/2017
Equatorial Guinea,CFA Franc,XAF,757.1300,01/02/2017,28/02/2017
Eritrea,Nakfa,ERN,18.5100,01/02/2017,28/02/2017
Ethiopia,Birr,ETB,27.8800,01/02/2017,28/02/2017
Eurozone,Euro,EUR,1.1542,01/02/2017,28/02/2017
Fiji Islands,Dollar,FJD,2.5637,01/02/2017,28/02/2017
Fr. Polynesia,CFP Franc,XPF,137.7300,01/02/2017,28/02/2017
Gabon,CFA Franc,XAF,757.1300,01/02/2017,28/02/2017
Gambia,Dalasi,GMD,54.0000,01/02/2017,28/02/2017
Georgia,Lari,GEL,3.2863,01/02/2017,28/02/2017
Ghana,Cedi,GHS,5.3118,01/02/2017,28/02/2017
Grenada,E Caribbean Dollar,XCD,3.3326,01/02/2017,28/02/2017
Guatemala,Quetzal,GTQ,9.3084,01/02/2017,28/02/2017
Guinea Bissau,CFA Franc,XOF,757.1300,01/02/2017,28/02/2017
Guinea Republic,Franc,GNF,11633.2200,01/02/2017,28/02/2017
Guyana,Dollar,GYD,256.8500,01/02/2017,28/02/2017
Haiti,Gourde,HTG,83.4800,01/02/2017,28/02/2017
Honduras,Lempira,HNL,29.1300,01/02/2017,28/02/2017
Hong Kong,Dollar,HKD,9.5732,01/02/2017,28/02/2017
Hungary,Forint,HUF,355.3200,01/02/2017,28/02/2017
Iceland,Krona,ISK,138.8000,01/02/2017,28/02/2017
India,Rupee,INR,84.0000,01/02/2017,28/02/2017
Indonesia,Rupiah,IDR,16468.5700,01/02/2017,28/02/2017
Iraq,Dinar,IQD,1458.9300,01/02/2017,28/02/2017
