Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.5795,01/12/2015,31/12/2015
Albania,Lek,ALL,195.74,01/12/2015,31/12/2015
Algeria,Dinar,DZD,163.94,01/12/2015,31/12/2015
Angola,Readj Kwanza,AOA,205.27,01/12/2015,31/12/2015
Antigua,E Caribbean Dollar,XCD,4.1017,01/12/2015,31/12/2015
Argentina,Peso,ARS,14.66,01/12/2015,29/12/2015
Argentina,Peso,ARS,19.37,30/12/2015,31/12/2015
Armenia,Dram,AMD,731.86,01/12/2015,31/12/2015
Aruba,Florin,AWG,2.7193,01/12/2015,31/12/2015
Australia,Dollar,AUD,2.1482,01/12/2015,31/12/2015
Azerbaijan,New Manat,AZN,1.5899,01/12/2015,31/12/2015
Bahamas,Dollar,BSD,1.521,01/12/2015,31/12/2015
Bahrain,Dinar,BHD,0.5731,01/12/2015,31/12/2015
Bangladesh,Taka,BDT,119.02,01/12/2015,31/12/2015
Barbados,Dollar,BBD,3.0383,01/12/2015,31/12/2015
Belarus,Rouble,BYR,27154.94,01/12/2015,31/12/2015
Belize,Dollar,BZD,3.0307,01/12/2015,31/12/2015
Benin,CFA Franc,XOF,928.57,01/12/2015,31/12/2015
Bermuda,Dollar (US),BMD,1.521,01/12/2015,31/12/2015
Bhutan,Ngultrum,BTN,100.86,01/12/2015,31/12/2015
Bolivia,Boliviano,BOB,10.48,01/12/2015,31/12/2015
Bosnia- Herzegovinia,Marka,BAM,2.7687,01/12/2015,31/12/2015
Botswana,Pula,BWP,16.46,01/12/2015,31/12/2015
Brazil,Real,BRL,5.7483,01/12/2015,31/12/2015
Brunei,Dollar,BND,2.164,01/12/2015,31/12/2015
Bulgaria,Lev,BGN,2.769,01/12/2015,31/12/2015
Burkina Faso,CFA Franc,XOF,928.57,01/12/2015,31/12/2015
Burundi,Franc,BIF,2368.66,01/12/2015,31/12/2015
Cambodia,Riel,KHR,6144.98,01/12/2015,31/12/2015
Cameroon Republic,CFA Franc,XAF,928.57,01/12/2015,31/12/2015
Canada,Dollar,CAD,2.0296,01/12/2015,31/12/2015
Cape Verde Islands,Escudo,CVE,155.86,01/12/2015,31/12/2015
Cayman Islands,Dollar,KYD,1.2457,01/12/2015,31/12/2015
Central African Republic,CFA Franc,XAF,928.57,01/12/2015,31/12/2015
Chad,CFA Franc,XAF,928.57,01/12/2015,31/12/2015
Chile,Peso,CLP,1069.56,01/12/2015,31/12/2015
China,Yuan,CNY,9.6831,01/12/2015,31/12/2015
Colombia,Peso,COP,4681.54,01/12/2015,22/12/2015
Colombia,Peso,COP,5022.29,23/12/2015,31/12/2015
Comoros,Franc,KMF,696.43,01/12/2015,31/12/2015
