Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,6.1454,01/03/14,31/03/14
Afghanistan,Afghani,AFN,94.413,01/03/14,31/03/14
Albania,Lek,ALL,171.66,01/03/14,31/03/14
Algeria,Dinar,DZD,130.124,01/03/14,31/03/14
Angola,Readj Kwanza,AOA,163.307,01/03/14,31/03/14
Antigua,E Caribbean Dollar,XCD,4.5174,01/03/14,31/03/14
Argentina,Peso,ARS,13.0031,01/03/14,31/03/14
Armenia,Dram,AMD,689.317,01/03/14,31/03/14
Aruba,Florin,AWG,2.9949,01/03/14,31/03/14
Australia,Dollar,AUD,1.8503,01/03/14,31/03/14
Austria,Euro,EUR,1.2152,01/03/14,31/03/14
Azerbaijan,New Manat,AZN,1.3106,01/03/14,31/03/14
Bahamas,Dollar,BSD,1.6714,01/03/14,31/03/14
Bahrain,Dinar,BHD,0.6308,01/03/14,31/03/14
Bangladesh,Taka,BDT,129.874,01/03/14,31/03/14
Barbados,Dollar,BBD,3.3462,01/03/14,18/03/14
Barbados,Dollar,BBD,3.3442,19/03/14,31/03/14
Belarus,Rouble,BYR,16245.8,01/03/14,31/03/14
Belgium,Euro,EUR,1.2152,01/03/14,31/03/14
Belize,Dollar,BZD,3.3295,01/03/14,31/03/14
Benin,CFA Franc,XOF,801.901,01/03/14,31/03/14
Bermuda,Dollar,BMD,1.6714,01/03/14,31/03/14
Bhutan,Ngultrum,BTN,104.004,01/03/14,31/03/14
Bolivia,Boliviano,BOB,11.5612,01/03/14,31/03/14
Bosnia- Herzegovinia,Marka,BAM,2.391,01/03/14,31/03/14
Botswana,Pula,BWP,14.9451,01/03/14,31/03/14
Brazil,Real,BRL,3.989,01/03/14,31/03/14
Brunei,Dollar,BND,2.109,01/03/14,31/03/14
Bulgaria,Lev,BGN,2.391,01/03/14,31/03/14
Burkina Faso,CFA Franc,XOF,801.901,01/03/14,31/03/14
Burundi,Franc,BIF,2578.25,01/03/14,31/03/14
Cambodia,Riel,KHR,6610.42,01/03/14,31/03/14
Cameroon Republic,CFA Franc,XAF,801.901,01/03/14,31/03/14
Canada,Dollar,CAD,1.8446,01/03/14,31/03/14
Cape Verde Islands,Escudo,CVE,132.744,01/03/14,31/03/14
Cayman Islands,Dollar,KYD,1.372,01/03/14,31/03/14
Central African Republic,CFA Franc,XAF,801.901,01/03/14,31/03/14
Chad,CFA Franc,XAF,801.901,01/03/14,31/03/14
Chile,Peso,CLP,915.361,01/03/14,31/03/14
China,Yuan,CNY,10.1504,01/03/14,31/03/14
Colombia,Peso,COP,3383.76,01/03/14,31/03/14
Comoros,Franc,KMF,601.426,01/03/14,31/03/14
Congo (Brazaville),CFA Franc,XAF,801.901,01/03/14,31/03/14
Congo (DemRep),Congo Fr,CDF,1540.09,01/03/14,31/03/14
Costa Rica,Colon,CRC,877.066,01/03/14,18/03/14
Costa Rica,Colon,CRC,935.859,19/03/14,31/03/14
Cote d'Ivoire,CFA Franc,XOF,801.901,01/03/14,31/03/14
Croatia,Kuna,HRK,9.3599,01/03/14,31/03/14
Cuba,Peso,CUP,1.6731,01/03/14,31/03/14
Cyprus,Euro,EUR,1.2152,01/03/14,31/03/14
Czech Republic,Koruna,CZK,33.5054,01/03/14,31/03/14
Denmark,Krone,DKK,9.0685,01/03/14,31/03/14
Djibouti,Franc,DJF,292.793,01/03/14,31/03/14
Dominica,E Caribbean Dollar,XCD,4.5174,01/03/14,31/03/14
Dominican Republic,Peso,DOP,72.0855,01/03/14,31/03/14
Dubai,Dirham,AED,6.1454,01/03/14,31/03/14
Ecuador,Dollar,ECS,1.6714,01/03/14,31/03/14
Egypt,Pound,EGP,11.6469,01/03/14,31/03/14
El Salvador,Colon,SVC,14.6355,01/03/14,31/03/14
Equatorial Guinea,CFA Franc,XAF,801.901,01/03/14,31/03/14
Eritrea,Nakfa,ERN,25.0535,01/03/14,31/03/14
Estonia,Euro,EUR,1.2152,01/03/14,31/03/14
Ethiopia,Birr,ETB,32.249,01/03/14,31/03/14
European Community,Euro,EUR,1.2152,01/03/14,31/03/14
Fiji Islands,Dollar,FJD,3.1515,01/03/14,31/03/14
Finland,Euro,EUR,1.2152,01/03/14,31/03/14
Fr. Polynesia,CFP Franc,XPF,145.882,01/03/14,31/03/14
France,Euro,EUR,1.2152,01/03/14,31/03/14
Gabon,CFA Franc,XAF,801.901,01/03/14,31/03/14
Gambia,Dalasi,GMD,63.6616,01/03/14,31/03/14
Georgia,Lari,GEL,2.8868,01/03/14,31/03/14
Germany,Euro,EUR,1.2152,01/03/14,31/03/14
Ghana,Cedi,GHS,4.2664,01/03/14,31/03/14
Greece,Euro,EUR,1.2152,01/03/14,31/03/14
Grenada,E Caribbean Dollar,XCD,4.5174,01/03/14,31/03/14
Guatemala,Quetzal,GTQ,12.9758,01/03/14,31/03/14
Guinea Bissau,CFA Franc,XOF,801.901,01/03/14,31/03/14
Guinea Republic,Franc,GNF,11745.2,01/03/14,31/03/14
Guyana,Dollar,GYD,344.625,01/03/14,31/03/14
Haiti,Gourde,HTG,73.845,01/03/14,31/03/14
Honduras,Lempira,HNL,33.0103,01/03/14,31/03/14
