Country,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.793,01/05/2019,31/05/2019
Albania,Lek,ALL,143.74,01/05/2019,31/05/2019
Algeria,Dinar,DZD,155.49,01/05/2019,31/05/2019
Angola,Readj Kwanza,AOA,416.31,01/05/2019,31/05/2019
Antigua,E Caribbean Dollar,XCD,3.5232,01/05/2019,31/05/2019
Argentina,Peso,ARS,53.97,01/05/2019,31/05/2019
Armenia,Dram,AMD,630.79,01/05/2019,31/05/2019
Aruba,Florin,AWG,2.3358,01/05/2019,31/05/2019
Australia,Dollar,AUD,1.8173,01/05/2019,31/05/2019
Azerbaijan,New Manat,AZN,2.2138,01/05/2019,31/05/2019
Bahamas,Dollar,BSD,1.3049,01/05/2019,31/05/2019
Bahrain,Dinar,BHD,0.4919,01/05/2019,31/05/2019
Bangladesh,Taka,BDT,110.09,01/05/2019,31/05/2019
Barbados,Dollar,BBD,2.6098,01/05/2019,31/05/2019
Belarus,Rouble,BYN,2.7312,01/05/2019,31/05/2019
Belize,Dollar,BZD,2.6098,01/05/2019,31/05/2019
Benin,CFA Franc,XOF,757.31,01/05/2019,31/05/2019
Bermuda,Dollar (US),BMD,1.3049,01/05/2019,31/05/2019
Bhutan,Ngultrum,BTN,90.82,01/05/2019,31/05/2019
Bolivia,Boliviano,BOB,9.0169,01/05/2019,31/05/2019
Bosnia- Herzegovinia,Marka,BAM,2.2581,01/05/2019,31/05/2019
Botswana,Pula,BWP,13.79,01/05/2019,31/05/2019
Brazil,Real,BRL,5.1227,01/05/2019,31/05/2019
Brunei,Dollar,BND,1.7649,01/05/2019,31/05/2019
Bulgaria,Lev,BGN,2.2581,01/05/2019,31/05/2019
Burkina Faso,CFA Franc,XOF,757.31,01/05/2019,31/05/2019
Burundi,Franc,BIF,2387.91,01/05/2019,31/05/2019
Cambodia,Riel,KHR,5258.76,01/05/2019,31/05/2019
Cameroon Republic,CFA Franc,XAF,757.31,01/05/2019,31/05/2019
Canada,Dollar,CAD,1.739,01/05/2019,31/05/2019
Cape Verde Islands,Escudo,CVE,127.89,01/05/2019,31/05/2019
Cayman Islands,Dollar,KYD,1.07,01/05/2019,31/05/2019
Central African Republic,CFA Franc,XAF,757.31,01/05/2019,31/05/2019
Chad,CFA Franc,XAF,757.31,01/05/2019,31/05/2019
Chile,Peso,CLP,860.54,01/05/2019,31/05/2019
China,Yuan,CNY,8.7255,01/05/2019,31/05/2019
Colombia,Peso,COP,4121.51,01/05/2019,31/05/2019
Comoros,Franc,KMF,567.98,01/05/2019,31/05/2019
Congo (Brazaville),CFA Franc,XAF,757.31,01/05/2019,31/05/2019
Congo (DemRep),Congo Fr,CDF,2147.21,01/05/2019,31/05/2019
Costa Rica,Colon,CRC,777.52,01/05/2019,31/05/2019
Cote d'Ivoire,CFA Franc,XOF,757.31,01/05/2019,31/05/2019
Croatia,Kuna,HRK,8.588,01/05/2019,31/05/2019
Cuba,Peso,CUP,1.3049,01/05/2019,31/05/2019
Czech Republic,Koruna,CZK,29.63,01/05/2019,31/05/2019
Denmark,Krone,DKK,8.6188,01/05/2019,31/05/2019
Djibouti,Franc,DJF,231.9,01/05/2019,31/05/2019
Dominica,E Caribbean Dollar,XCD,3.5232,01/05/2019,31/05/2019
Dominican Republic,Peso,DOP,66.05,01/05/2019,31/05/2019
Dubai,Dirham,AED,4.793,01/05/2019,31/05/2019
Ecuador,Dollar,ECS,1.3049,01/05/2019,31/05/2019
Egypt,Pound,EGP,22.51,01/05/2019,31/05/2019
El Salvador,Colon,SVC,11.41,01/05/2019,31/05/2019
Equatorial Guinea,CFA Franc,XAF,757.31,01/05/2019,31/05/2019
Eritrea,Nakfa,ERN,19.57,01/05/2019,31/05/2019
Ethiopia,Birr,ETB,37.45,01/05/2019,31/05/2019
Eurozone,Euro,EUR,1.1545,01/05/2019,31/05/2019
Fiji Islands,Dollar,FJD,2.7821,01/05/2019,31/05/2019
Fr. Polynesia,CFP Franc,XPF,137.77,01/05/2019,31/05/2019
Gabon,CFA Franc,XAF,757.31,01/05/2019,31/05/2019
Gambia,Dalasi,GMD,64.65,01/05/2019,31/05/2019
Georgia,Lari,GEL,3.5141,01/05/2019,31/05/2019
Ghana,Cedi,GHS,6.7007,01/05/2019,31/05/2019
Grenada,E Caribbean Dollar,XCD,3.5232,01/05/2019,31/05/2019
Guatemala,Quetzal,GTQ,9.9541,01/05/2019,31/05/2019
Guinea Bissau,CFA Franc,XOF,757.31,01/05/2019,31/05/2019
Guinea Republic,Franc,GNF,11915.74,01/05/2019,31/05/2019
Guyana,Dollar,GYD,273.52,01/05/2019,31/05/2019
Haiti,Gourde,HTG,109.71,01/05/2019,31/05/2019
Honduras,Lempira,HNL,31.89,01/05/2019,31/05/2019
Hong Kong,Dollar,HKD,10.23,01/05/2019,31/05/2019
Hungary,Forint,HUF,368.82,01/05/2019,31/05/2019
Iceland,Krona,ISK,156.53,01/05/2019,31/05/2019
India,Rupee,INR,90.82,01/05/2019,31/05/2019
Indonesia,Rupiah,IDR,18379.58,01/05/2019,31/05/2019
Iraq,Dinar,IQD,1552.83,01/05/2019,31/05/2019
Israel,Shekel,ILS,4.6654,01/05/2019,31/05/2019
Jamaica,Dollar,JMD,171.19,01/05/2019,31/05/2019
Japan,Yen,JPY,146.14,01/05/2019,31/05/2019
Jordan,Dinar,JOD,0.9252,01/05/2019,31/05/2019
Kazakhstan,Tenge,KZT,494.98,01/05/2019,31/05/2019
Kenya,Schilling,KES,132.12,01/05/2019,31/05/2019
Kuwait,Dinar,KWD,0.3968,01/05/2019,31/05/2019
Kyrgyz Republic,Som,KGS,90.95,01/05/2019,31/05/2019
Lao People's Dem Rep,Kip,LAK,11236.52,01/05/2019,31/05/2019
Lebanon,Pound,LBP,1967.79,01/05/2019,31/05/2019
Lesotho,Loti,LSL,18.23,01/05/2019,31/05/2019
