Country,Currency,Currency Code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6997,01/09/2017,30/09/2017
Albania,Lek,ALL,143.32,01/09/2017,30/09/2017
Algeria,Dinar,DZD,140.55,01/09/2017,30/09/2017
Angola,Readj Kwanza,AOA,212.29,01/09/2017,30/09/2017
Antigua,E Caribbean Dollar,XCD,3.4546,01/09/2017,30/09/2017
Argentina,Peso,ARS,21.99,01/09/2017,30/09/2017
Armenia,Dram,AMD,612.3,01/09/2017,30/09/2017
Aruba,Florin,AWG,2.2903,01/09/2017,30/09/2017
Australia,Dollar,AUD,1.6203,01/09/2017,30/09/2017
Azerbaijan,New Manat,AZN,2.1751,01/09/2017,30/09/2017
Bahamas,Dollar,BSD,1.2795,01/09/2017,30/09/2017
Bahrain,Dinar,BHD,0.4824,01/09/2017,30/09/2017
Bangladesh,Taka,BDT,103.89,01/09/2017,30/09/2017
Barbados,Dollar,BBD,2.559,01/09/2017,30/09/2017
Belarus,Rouble,BYN,2.5686,01/09/2017,30/09/2017
Belize,Dollar,BZD,2.5574,01/09/2017,30/09/2017
Benin,CFA Franc,XOF,710.36,01/09/2017,30/09/2017
Bermuda,Dollar (US),BMD,1.2795,01/09/2017,30/09/2017
Bhutan,Ngultrum,BTN,82.04,01/09/2017,30/09/2017
Bolivia,Boliviano,BOB,8.8413,01/09/2017,30/09/2017
Bosnia- Herzegovinia,Marka,BAM,2.118,01/09/2017,30/09/2017
Botswana,Pula,BWP,13.06,01/09/2017,30/09/2017
Brazil,Real,BRL,4.0383,01/09/2017,30/09/2017
Brunei,Dollar,BND,1.7418,01/09/2017,30/09/2017
Bulgaria,Lev,BGN,2.1185,01/09/2017,30/09/2017
Burkina Faso,CFA Franc,XOF,710.36,01/09/2017,30/09/2017
Burundi,Franc,BIF,2229.85,01/09/2017,30/09/2017
Cambodia,Riel,KHR,5242.07,01/09/2017,30/09/2017
Cameroon Republic,CFA Franc,XAF,710.36,01/09/2017,30/09/2017
Canada,Dollar,CAD,1.6076,01/09/2017,30/09/2017
Cape Verde Islands,Escudo,CVE,119.76,01/09/2017,30/09/2017
Cayman Islands,Dollar,KYD,1.0492,01/09/2017,30/09/2017
Central African Republic,CFA Franc,XAF,710.36,01/09/2017,30/09/2017
Chad,CFA Franc,XAF,710.36,01/09/2017,30/09/2017
Chile,Peso,CLP,821.25,01/09/2017,30/09/2017
China,Yuan,CNY,8.526,01/09/2017,30/09/2017
Colombia,Peso,COP,3824.54,01/09/2017,30/09/2017
Comoros,Franc,KMF,532.77,01/09/2017,30/09/2017
Congo (Brazaville),CFA Franc,XAF,710.36,01/09/2017,30/09/2017
Congo (DemRep),Congo Fr,CDF,2048.14,01/09/2017,30/09/2017
Costa Rica,Colon,CRC,735.2,01/09/2017,30/09/2017
Cote d'Ivoire,CFA Franc,XOF,710.36,01/09/2017,30/09/2017
Croatia,Kuna,HRK,8.0225,01/09/2017,30/09/2017
Cuba,Peso,CUP,1.2795,01/09/2017,30/09/2017
Czech Republic,Koruna,CZK,28.29,01/09/2017,30/09/2017
Denmark,Krone,DKK,8.0552,01/09/2017,30/09/2017
Djibouti,Franc,DJF,227.39,01/09/2017,30/09/2017
Dominica,E Caribbean Dollar,XCD,3.4546,01/09/2017,30/09/2017
Dominican Republic,Peso,DOP,60.5,01/09/2017,30/09/2017
Dubai,Dirham,AED,4.6997,01/09/2017,30/09/2017
Ecuador,Dollar,ECS,1.2795,01/09/2017,30/09/2017
Egypt,Pound,EGP,22.69,01/09/2017,30/09/2017
El Salvador,Colon,SVC,11.19,01/09/2017,30/09/2017
Equatorial Guinea,CFA Franc,XAF,710.36,01/09/2017,30/09/2017
Eritrea,Nakfa,ERN,19.19,01/09/2017,30/09/2017
Ethiopia,Birr,ETB,29.91,01/09/2017,30/09/2017
Eurozone,Euro,EUR,1.0829,01/09/2017,30/09/2017
Fiji Islands,Dollar,FJD,2.5966,01/09/2017,30/09/2017
Fr. Polynesia,CFP Franc,XPF,129.22,01/09/2017,30/09/2017
Gabon,CFA Franc,XAF,710.36,01/09/2017,30/09/2017
Gambia,Dalasi,GMD,57.89,01/09/2017,30/09/2017
Georgia,Lari,GEL,3.0785,01/09/2017,30/09/2017
Ghana,Cedi,GHS,5.6809,01/09/2017,30/09/2017
Grenada,E Caribbean Dollar,XCD,3.4546,01/09/2017,30/09/2017
Guatemala,Quetzal,GTQ,9.3121,01/09/2017,30/09/2017
Guinea Bissau,CFA Franc,XOF,710.36,01/09/2017,30/09/2017
Guinea Republic,Franc,GNF,11452.32,01/09/2017,30/09/2017
Guyana,Dollar,GYD,265.92,01/09/2017,30/09/2017
Haiti,Gourde,HTG,81.03,01/09/2017,30/09/2017
Honduras,Lempira,HNL,29.9,01/09/2017,30/09/2017
Hong Kong,Dollar,HKD,10.01,01/09/2017,30/09/2017
Hungary,Forint,HUF,327.65,01/09/2017,30/09/2017
Iceland,Krona,ISK,137.11,01/09/2017,30/09/2017
India,Rupee,INR,82.04,01/09/2017,30/09/2017
Indonesia,Rupiah,IDR,17084.43,01/09/2017,30/09/2017
Iraq,Dinar,IQD,1512.99,01/09/2017,30/09/2017
Israel,Shekel,ILS,4.626,01/09/2017,30/09/2017
Jamaica,Dollar,JMD,163.54,01/09/2017,30/09/2017
Japan,Yen,JPY,139.51,01/09/2017,30/09/2017
Jordan,Dinar,JOD,0.9072,01/09/2017,30/09/2017
Kazakhstan,Tenge,KZT,427.01,01/09/2017,30/09/2017
Kenya,Schilling,KES,132.1,01/09/2017,30/09/2017
Kuwait,Dinar,KWD,0.3864,01/09/2017,30/09/2017
Kyrgyz Republic,Som,KGS,87.85,01/09/2017,30/09/2017
Lao People's Dem Rep,Kip,LAK,10626.18,01/09/2017,30/09/2017
Lebanon,Pound,LBP,1927.55,01/09/2017,30/09/2017
Lesotho,Loti,LSL,16.9,01/09/2017,30/09/2017
Liberia,Dollar (US),LRD,1.2795,01/09/2017,30/09/2017
Libya,Dinar,LYD,1.7529,01/09/2017,30/09/2017
Macao,Pataca,MOP,10.31,01/09/2017,30/09/2017
Macedonia,Denar,MKD,66.68,01/09/2017,30/09/2017
Madagascar,Malagasy Ariary,MGA,3773.22,01/09/2017,30/09/2017
Malawi,Kwacha,MWK,928.47,01/09/2017,30/09/2017
Malaysia,Ringgit,MYR,5.4749,01/09/2017,30/09/2017
Maldive Islands,Rufiyaa,MVR,19.78,01/09/2017,30/09/2017
Mali Republic,CFA Franc,XOF,710.36,01/09/2017,30/09/2017
Mauritania,Ouguiya,MRO,457.78,01/09/2017,30/09/2017
Mauritius,Rupee,MUR,42.55,01/09/2017,30/09/2017
Mexico,Mexican Peso,MXN,22.67,01/09/2017,30/09/2017
Moldova,Leu,MDL,22.92,01/09/2017,30/09/2017
Mongolia,Tugrik,MNT,3121.96,01/09/2017,30/09/2017
Montserrat,E Caribbean Dollar,XCD,3.4546,01/09/2017,30/09/2017
Morocco,Dirham,MAD,12.03,01/09/2017,30/09/2017
Mozambique,Metical,MZN,78.31,01/09/2017,30/09/2017
Myanmar,Kyat,MMK,1743.43,01/09/2017,30/09/2017
Nepal,Rupee,NPR,131.26,01/09/2017,30/09/2017
New Caledonia,CFP Franc,XPF,129.22,01/09/2017,30/09/2017
New Zealand,Dollar,NZD,1.7734,01/09/2017,30/09/2017
Nicaragua,Gold Cordoba,NIO,38.71,01/09/2017,30/09/2017
Niger Republic,CFA Franc,XOF,710.36,01/09/2017,30/09/2017
Nigeria,Naira,NGN,462.53,01/09/2017,30/09/2017
Norway,Norwegian Krone,NOK,10.07,01/09/2017,30/09/2017
Oman,Rial,OMR,0.4927,01/09/2017,30/09/2017
Pakistan,Rupee,PKR,134.82,01/09/2017,30/09/2017
Panama,Balboa,PAB,1.2795,01/09/2017,30/09/2017
Papua New Guinea,Kina,PGK,4.0713,01/09/2017,30/09/2017
Paraguay,Guarani,PYG,7184.21,01/09/2017,30/09/2017
Peru,New Sol,PEN,4.1453,01/09/2017,30/09/2017
Philippines,Peso,PHP,65.56,01/09/2017,30/09/2017
Poland,Zloty,PLN,4.6414,01/09/2017,30/09/2017
Qatar,Riyal,QAR,4.6593,01/09/2017,30/09/2017
Romania,New Leu,RON,4.9674,01/09/2017,30/09/2017
Russia,Rouble,RUB,75.61,01/09/2017,30/09/2017
Rwanda,Franc,RWF,1077.85,01/09/2017,30/09/2017
Saotome & Principe,Dobra,STD,26741.38,01/09/2017,30/09/2017
Saudi Arabia,Riyal,SAR,4.7984,01/09/2017,30/09/2017
Senegal,CFA Franc,XOF,710.36,01/09/2017,30/09/2017
Serbia,Dinar,RSD,129.24,01/09/2017,30/09/2017
Seychelles,Rupee,SCR,17.33,01/09/2017,30/09/2017
Sierra Leone,Leone,SLL,9692.15,01/09/2017,30/09/2017
Singapore,Dollar,SGD,1.7418,01/09/2017,30/09/2017
Soloman Islands,Dollar,SBD,9.8612,01/09/2017,30/09/2017
Somali Republic,Schilling,SOS,759.37,01/09/2017,30/09/2017
South Africa,Rand,ZAR,16.9,01/09/2017,30/09/2017
South Korea,Won,KRW,1448.19,01/09/2017,30/09/2017
Sri Lanka,Rupee,LKR,195.73,01/09/2017,30/09/2017
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.4546,01/09/2017,30/09/2017
St Lucia,E Caribbean Dollar,XCD,3.4546,01/09/2017,30/09/2017
St Vincent,E Caribbean Dollar,XCD,3.4546,01/09/2017,30/09/2017
Sudan Republic,Pound,SDG,8.5404,01/09/2017,30/09/2017
Surinam,Dollar,SRD,9.5169,01/09/2017,30/09/2017
Swaziland,Lilangeni,SZL,16.9,01/09/2017,30/09/2017
Sweden,Krona,SEK,10.33,01/09/2017,30/09/2017
Switzerland,Franc,CHF,1.2346,01/09/2017,30/09/2017
Taiwan,Dollar,TWD,38.74,01/09/2017,30/09/2017
Tanzania,Schilling,TZS,2863.5,01/09/2017,30/09/2017
Thailand,Baht,THB,42.68,01/09/2017,30/09/2017
Togo Republic,CFA Franc,XOF,710.36,01/09/2017,30/09/2017
