Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.3889,01/07/2016,31/07/2016
Albania,Lek,ALL,178.84,01/07/2016,31/07/2016
Algeria,Dinar,DZD,161.16,01/07/2016,31/07/2016
Angola,Readj Kwanza,AOA,243.15,01/07/2016,31/07/2016
Antigua,E Caribbean Dollar,XCD,3.9614,01/07/2016,31/07/2016
Argentina,Peso,ARS,20.33,01/07/2016,31/07/2016
Armenia,Dram,AMD,698.35,01/07/2016,31/07/2016
Aruba,Florin,AWG,2.6263,01/07/2016,31/07/2016
Australia,Dollar,AUD,1.9674,01/07/2016,31/07/2016
Azerbaijan,New Manat,AZN,2.2472,01/07/2016,31/07/2016
Bahamas,Dollar,BSD,1.4672,01/07/2016,31/07/2016
Bahrain,Dinar,BHD,0.5534,01/07/2016,31/07/2016
Bangladesh,Taka,BDT,114.99,01/07/2016,31/07/2016
Barbados,Dollar,BBD,2.9344,01/07/2016,31/07/2016
Belarus,Rouble,BYR,29028.58,01/07/2016,31/07/2016
Belize,Dollar,BZD,2.9491,01/07/2016,31/07/2016
Benin,CFA Franc,XOF,853.89,01/07/2016,31/07/2016
Bermuda,Dollar (US),BMD,1.4672,01/07/2016,31/07/2016
Bhutan,Ngultrum,BTN,99.06,01/07/2016,31/07/2016
Bolivia,Boliviano,BOB,10.1,01/07/2016,31/07/2016
Bosnia- Herzegovinia,Marka,BAM,2.546,01/07/2016,31/07/2016
Botswana,Pula,BWP,15.87,01/07/2016,31/07/2016
Brazil,Real,BRL,4.9889,01/07/2016,31/07/2016
Brunei,Dollar,BND,1.9691,01/07/2016,31/07/2016
Bulgaria,Lev,BGN,2.5462,01/07/2016,31/07/2016
Burkina Faso,CFA Franc,XOF,853.89,01/07/2016,31/07/2016
Burundi,Franc,BIF,2463.28,01/07/2016,31/07/2016
Cambodia,Riel,KHR,6015.52,01/07/2016,31/07/2016
Cameroon Republic,CFA Franc,XAF,853.89,01/07/2016,31/07/2016
Canada,Dollar,CAD,1.8799,01/07/2016,31/07/2016
Cape Verde Islands,Escudo,CVE,143.65,01/07/2016,31/07/2016
Cayman Islands,Dollar,KYD,1.2031,01/07/2016,31/07/2016
Central African Republic,CFA Franc,XAF,853.89,01/07/2016,31/07/2016
Chad,CFA Franc,XAF,853.89,01/07/2016,31/07/2016
Chile,Peso,CLP,991.7,01/07/2016,31/07/2016
China,Yuan,CNY,9.6524,01/07/2016,31/07/2016
Colombia,Peso,COP,4372.47,01/07/2016,31/07/2016
Comoros,Franc,KMF,640.41,01/07/2016,31/07/2016
Congo (Brazaville),CFA Franc,XAF,853.89,01/07/2016,31/07/2016
Congo (DemRep),Congo Fr,CDF,1402.64,01/07/2016,31/07/2016
Costa Rica,Colon,CRC,799.33,01/07/2016,31/07/2016
Cote d'Ivoire,CFA Franc,XOF,853.89,01/07/2016,31/07/2016
Croatia,Kuna,HRK,9.7876,01/07/2016,31/07/2016
Cuba,Peso,CUP,1.4672,01/07/2016,31/07/2016
Czech Republic,Koruna,CZK,35.24,01/07/2016,31/07/2016
Denmark,Krone,DKK,9.6798,01/07/2016,31/07/2016
Djibouti,Franc,DJF,260.75,01/07/2016,31/07/2016
Dominica,E Caribbean Dollar,XCD,3.9614,01/07/2016,31/07/2016
Dominican Republic,Peso,DOP,67.38,01/07/2016,31/07/2016
Dubai,Dirham,AED,5.3889,01/07/2016,31/07/2016
Ecuador,Dollar,ECS,1.4672,01/07/2016,31/07/2016
Egypt,Pound,EGP,13.02,01/07/2016,31/07/2016
El Salvador,Colon,SVC,12.83,01/07/2016,31/07/2016
Equatorial Guinea,CFA Franc,XAF,853.89,01/07/2016,31/07/2016
Eritrea,Nakfa,ERN,22,01/07/2016,31/07/2016
Ethiopia,Birr,ETB,31.92,01/07/2016,31/07/2016
Eurozone,Euro,EUR,1.3017,01/07/2016,31/07/2016
Fiji Islands,Dollar,FJD,3.0491,01/07/2016,31/07/2016
Fr. Polynesia,CFP Franc,XPF,155.33,01/07/2016,31/07/2016
Gabon,CFA Franc,XAF,853.89,01/07/2016,31/07/2016
Gambia,Dalasi,GMD,62.51,01/07/2016,31/07/2016
Georgia,Lari,GEL,3.2352,01/07/2016,31/07/2016
Ghana,Cedi,GHS,5.791,01/07/2016,31/07/2016
Grenada,E Caribbean Dollar,XCD,3.9614,01/07/2016,31/07/2016
Guatemala,Quetzal,GTQ,11.19,01/07/2016,31/07/2016
Guinea Bissau,CFA Franc,XOF,853.89,01/07/2016,31/07/2016
Guinea Republic,Franc,GNF,10776.59,01/07/2016,31/07/2016
Guyana,Dollar,GYD,304.48,01/07/2016,31/07/2016
Haiti,Gourde,HTG,91.88,01/07/2016,31/07/2016
Honduras,Lempira,HNL,33.37,01/07/2016,31/07/2016
Hong Kong,Dollar,HKD,11.38,01/07/2016,31/07/2016
Hungary,Forint,HUF,409.92,01/07/2016,31/07/2016
Iceland,Krona,ISK,180.23,01/07/2016,31/07/2016
India,Rupee,INR,99.06,01/07/2016,31/07/2016
Indonesia,Rupiah,IDR,19458.77,01/07/2016,31/07/2016
Iraq,Dinar,IQD,1732.76,01/07/2016,31/07/2016
Israel,Shekel,ILS,5.6569,01/07/2016,31/07/2016
Jamaica,Dollar,JMD,184.42,01/07/2016,31/07/2016
Japan,Yen,JPY,153.37,01/07/2016,31/07/2016
Jordan,Dinar,JOD,1.0389,01/07/2016,31/07/2016
Kazakhstan,Tenge,KZT,495.02,01/07/2016,31/07/2016
Kenya,Schilling,KES,148.48,01/07/2016,31/07/2016
Kuwait,Dinar,KWD,0.4417,01/07/2016,31/07/2016
Kyrgyz Republic,Som,KGS,99.3,01/07/2016,31/07/2016
Lao People's Dem Rep,Kip,LAK,11898.99,01/07/2016,31/07/2016
Lebanon,Pound,LBP,2212.53,01/07/2016,31/07/2016
Lesotho,Loti,LSL,21.61,01/07/2016,31/07/2016
Liberia,Dollar (US),LRD,1.4672,01/07/2016,31/07/2016
Libya,Dinar,LYD,1.9954,01/07/2016,31/07/2016
Macao,Pataca,MOP,11.72,01/07/2016,31/07/2016
Macedonia,Denar,MKD,80.15,01/07/2016,31/07/2016
Madagascar,Malagasy Ariary,MGA,4797.74,01/07/2016,31/07/2016
Malawi,Kwacha,MWK,1042.19,01/07/2016,31/07/2016
Malaysia,Ringgit,MYR,5.9187,01/07/2016,31/07/2016
Maldive Islands,Rufiyaa,MVR,22.37,01/07/2016,31/07/2016
Mali Republic,CFA Franc,XOF,853.89,01/07/2016,31/07/2016
Mauritania,Ouguiya,MRO,523.79,01/07/2016,31/07/2016
Mauritius,Rupee,MUR,51.98,01/07/2016,31/07/2016
Mexico,Mexican Peso,MXN,27.36,01/07/2016,31/07/2016
Moldova,Leu,MDL,28.9,01/07/2016,31/07/2016
Mongolia,Tugrik,MNT,2856.64,01/07/2016,31/07/2016
Montserrat,E Caribbean Dollar,XCD,3.9614,01/07/2016,31/07/2016
Morocco,Dirham,MAD,14.23,01/07/2016,31/07/2016
Mozambique,Metical,MZN,92.43,01/07/2016,31/07/2016
Myanmar,Kyat,MMK,1738.55,01/07/2016,31/07/2016
Nepal,Rupee,NPR,158.5,01/07/2016,31/07/2016
New Caledonia,CFP Franc,XPF,155.33,01/07/2016,31/07/2016
New Zealand,Dollar,NZD,2.0584,01/07/2016,31/07/2016
Nicaragua,Gold Cordoba,NIO,41.93,01/07/2016,31/07/2016
Niger Republic,CFA Franc,XOF,853.89,01/07/2016,31/07/2016
Nigeria,Naira,NGN,413.75,01/07/2016,31/07/2016
Norway,Norwegian Krone,NOK,12.18,01/07/2016,31/07/2016
Oman,Rial,OMR,0.5649,01/07/2016,31/07/2016
Pakistan,Rupee,PKR,153.6,01/07/2016,31/07/2016
Panama,Balboa,PAB,1.4672,01/07/2016,31/07/2016
Papua New Guinea,Kina,PGK,4.6457,01/07/2016,31/07/2016
Paraguay,Guarani,PYG,8191.34,01/07/2016,31/07/2016
Peru,New Sol,PEN,4.8242,01/07/2016,31/07/2016
Philippines,Peso,PHP,68.03,01/07/2016,31/07/2016
Poland,Zloty,PLN,5.7358,01/07/2016,31/07/2016
Qatar,Riyal,QAR,5.3416,01/07/2016,31/07/2016
Romania,New Leu,RON,5.9103,01/07/2016,31/07/2016
Russia,Rouble,RUB,94.09,01/07/2016,31/07/2016
Rwanda,Franc,RWF,1150.76,01/07/2016,31/07/2016
Saotome and Principe,Dobra,STD,31735.55,01/07/2016,31/07/2016
Saudi Arabia,Riyal,SAR,5.5025,01/07/2016,31/07/2016
Senegal,CFA Franc,XOF,853.89,01/07/2016,31/07/2016
Serbia,Dinar,RSD,161.06,01/07/2016,31/07/2016
Seychelles,Rupee,SCR,19.37,01/07/2016,31/07/2016
Sierra Leone,Leone,SLL,5789.57,01/07/2016,31/07/2016
Singapore,Dollar,SGD,1.9691,01/07/2016,31/07/2016
Soloman Islands,Dollar,SBD,11.47,01/07/2016,31/07/2016
Somali Republic,Schilling,SOS,848.77,01/07/2016,31/07/2016
South Africa,Rand,ZAR,21.61,01/07/2016,31/07/2016
South Korea,Won,KRW,1697.11,01/07/2016,31/07/2016
Sri Lanka,Rupee,LKR,213.4,01/07/2016,31/07/2016
St Christopher and Anguilla,E Caribbean Dollar,XCD,3.9614,01/07/2016,31/07/2016
St Lucia,E Caribbean Dollar,XCD,3.9614,01/07/2016,31/07/2016
St Vincent,E Caribbean Dollar,XCD,3.9614,01/07/2016,31/07/2016
Sudan Republic,Pound,SDG,8.9201,01/07/2016,31/07/2016
Surinam,Dollar,SRD,10.31,01/07/2016,31/07/2016
Swaziland,Lilangeni,SZL,21.61,01/07/2016,31/07/2016
Sweden,Krona,SEK,12.1,01/07/2016,31/07/2016
Switzerland,Franc,CHF,1.4062,01/07/2016,31/07/2016
Taiwan,Dollar,TWD,47.32,01/07/2016,31/07/2016
Tanzania,Schilling,TZS,3214.63,01/07/2016,31/07/2016
Thailand,Baht,THB,51.61,01/07/2016,31/07/2016
Togo Republic,CFA Franc,XOF,853.89,01/07/2016,31/07/2016
Tonga Islands,Pa'anga (AUS),TOP,1.9674,01/07/2016,31/07/2016
Trinidad/Tobago,Dollar,TTD,9.7361,01/07/2016,31/07/2016
