Country,Currency,Currency code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.8669,01/09/2016,30/09/2016
Albania,Lek,ALL,161.85,01/09/2016,30/09/2016
Algeria,Dinar,DZD,144.51,01/09/2016,30/09/2016
Angola,Readj Kwanza,AOA,219.61,01/09/2016,30/09/2016
Antigua,E Caribbean Dollar,XCD,3.5776,01/09/2016,30/09/2016
Argentina,Peso,ARS,19.73,01/09/2016,30/09/2016
Armenia,Dram,AMD,628.52,01/09/2016,30/09/2016
Aruba,Florin,AWG,2.3718,01/09/2016,30/09/2016
Australia,Dollar,AUD,1.741,01/09/2016,30/09/2016
Azerbaijan,New Manat,AZN,2.1741,01/09/2016,30/09/2016
Bahamas,Dollar,BSD,1.325,01/09/2016,30/09/2016
Bahrain,Dinar,BHD,0.4996,01/09/2016,30/09/2016
Bangladesh,Taka,BDT,103.88,01/09/2016,30/09/2016
Barbados,Dollar,BBD,2.6501,01/09/2016,30/09/2016
Belarus,Rouble,BYR,2.66,01/09/2016,30/09/2016
Belize,Dollar,BZD,2.6633,01/09/2016,30/09/2016
Benin,CFA Franc,XOF,772.66,01/09/2016,30/09/2016
Bermuda,Dollar (US),BMD,1.325,01/09/2016,30/09/2016
Bhutan,Ngultrum,BTN,88.93,01/09/2016,30/09/2016
Bolivia,Boliviano,BOB,9.1892,01/09/2016,30/09/2016
Bosnia- Herzegovinia,Marka,BAM,2.3038,01/09/2016,30/09/2016
Botswana,Pula,BWP,14.05,01/09/2016,30/09/2016
Brazil,Real,BRL,4.2823,01/09/2016,30/09/2016
Brunei,Dollar,BND,1.7964,01/09/2016,30/09/2016
Bulgaria,Lev,BGN,2.3041,01/09/2016,30/09/2016
Burkina Faso,CFA Franc,XOF,772.66,01/09/2016,30/09/2016
Burundi,Franc,BIF,2220.77,01/09/2016,30/09/2016
Cambodia,Riel,KHR,5435.34,01/09/2016,30/09/2016
Cameroon Republic,CFA Franc,XAF,772.66,01/09/2016,30/09/2016
Canada,Dollar,CAD,1.7153,01/09/2016,30/09/2016
Cape Verde Islands,Escudo,CVE,129.92,01/09/2016,30/09/2016
Cayman Islands,Dollar,KYD,1.0865,01/09/2016,30/09/2016
Central African Republic,CFA Franc,XAF,772.66,01/09/2016,30/09/2016
Chad,CFA Franc,XAF,772.66,01/09/2016,30/09/2016
Chile,Peso,CLP,889.68,01/09/2016,30/09/2016
China,Yuan,CNY,8.8129,01/09/2016,30/09/2016
Colombia,Peso,COP,3904.94,01/09/2016,30/09/2016
Comoros,Franc,KMF,579.5,01/09/2016,30/09/2016
Congo (Brazaville),CFA Franc,XAF,772.66,01/09/2016,30/09/2016
Congo (DemRep),Congo Fr,CDF,1313.12,01/09/2016,30/09/2016
Costa Rica,Colon,CRC,728.8,01/09/2016,30/09/2016
Cote d'Ivoire,CFA Franc,XOF,772.66,01/09/2016,30/09/2016
Croatia,Kuna,HRK,8.8236,01/09/2016,30/09/2016
Cuba,Peso,CUP,1.325,01/09/2016,30/09/2016
Czech Republic,Koruna,CZK,31.82,01/09/2016,30/09/2016
Denmark,Krone,DKK,8.769,01/09/2016,30/09/2016
Djibouti,Franc,DJF,235.48,01/09/2016,30/09/2016
Dominica,E Caribbean Dollar,XCD,3.5776,01/09/2016,30/09/2016
Dominican Republic,Peso,DOP,60.96,01/09/2016,30/09/2016
Dubai,Dirham,AED,4.8669,01/09/2016,30/09/2016
Ecuador,Dollar,ECS,1.325,01/09/2016,30/09/2016
Egypt,Pound,EGP,11.75,01/09/2016,30/09/2016
El Salvador,Colon,SVC,11.61,01/09/2016,30/09/2016
Equatorial Guinea,CFA Franc,XAF,772.66,01/09/2016,30/09/2016
Eritrea,Nakfa,ERN,19.87,01/09/2016,30/09/2016
Ethiopia,Birr,ETB,29.31,01/09/2016,30/09/2016
Eurozone,Euro,EUR,1.1779,01/09/2016,30/09/2016
Fiji Islands,Dollar,FJD,2.7153,01/09/2016,30/09/2016
Fr. Polynesia,CFP Franc,XPF,140.56,01/09/2016,30/09/2016
Gabon,CFA Franc,XAF,772.66,01/09/2016,30/09/2016
Gambia,Dalasi,GMD,56.77,01/09/2016,30/09/2016
Georgia,Lari,GEL,3.041,01/09/2016,30/09/2016
Ghana,Cedi,GHS,5.2682,01/09/2016,30/09/2016
Grenada,E Caribbean Dollar,XCD,3.5776,01/09/2016,30/09/2016
Guatemala,Quetzal,GTQ,10.01,01/09/2016,30/09/2016
Guinea Bissau,CFA Franc,XOF,772.66,01/09/2016,30/09/2016
Guinea Republic,Franc,GNF,12042.04,01/09/2016,30/09/2016
Guyana,Dollar,GYD,276.06,01/09/2016,30/09/2016
Haiti,Gourde,HTG,85.51,01/09/2016,30/09/2016
Honduras,Lempira,HNL,30.33,01/09/2016,30/09/2016
Hong Kong,Dollar,HKD,10.27,01/09/2016,30/09/2016
Hungary,Forint,HUF,364.76,01/09/2016,30/09/2016
Iceland,Krona,ISK,155.08,01/09/2016,30/09/2016
India,Rupee,INR,88.93,01/09/2016,30/09/2016
Indonesia,Rupiah,IDR,17553.59,01/09/2016,30/09/2016
Iraq,Dinar,IQD,1566.86,01/09/2016,30/09/2016
Israel,Shekel,ILS,4.991,01/09/2016,30/09/2016
Jamaica,Dollar,JMD,168.01,01/09/2016,30/09/2016
Japan,Yen,JPY,133.25,01/09/2016,30/09/2016
Jordan,Dinar,JOD,0.9395,01/09/2016,30/09/2016
Kazakhstan,Tenge,KZT,450.01,01/09/2016,30/09/2016
Kenya,Schilling,KES,134.39,01/09/2016,30/09/2016
Kuwait,Dinar,KWD,0.3993,01/09/2016,30/09/2016
Kyrgyz Republic,Som,KGS,90.64,01/09/2016,30/09/2016
Lao People's Dem Rep,Kip,LAK,10806.42,01/09/2016,30/09/2016
Lebanon,Pound,LBP,1996.97,01/09/2016,30/09/2016
Lesotho,Loti,LSL,18.73,01/09/2016,30/09/2016
Liberia,Dollar (US),LRD,1.325,01/09/2016,30/09/2016
Libya,Dinar,LYD,1.8219,01/09/2016,30/09/2016
Macao,Pataca,MOP,10.58,01/09/2016,30/09/2016
Macedonia,Denar,MKD,72.57,01/09/2016,30/09/2016
Madagascar,Malagasy Ariary,MGA,4037.42,01/09/2016,30/09/2016
Malawi,Kwacha,MWK,955,01/09/2016,30/09/2016
Malaysia,Ringgit,MYR,5.3512,01/09/2016,30/09/2016
Maldive Islands,Rufiyaa,MVR,20.33,01/09/2016,30/09/2016
Mali Republic,CFA Franc,XOF,772.66,01/09/2016,30/09/2016
Mauritania,Ouguiya,MRO,473.04,01/09/2016,30/09/2016
Mauritius,Rupee,MUR,46.52,01/09/2016,30/09/2016
Mexico,Mexican Peso,MXN,24.52,01/09/2016,30/09/2016
Moldova,Leu,MDL,26.1,01/09/2016,30/09/2016
Mongolia,Tugrik,MNT,2994.6,01/09/2016,30/09/2016
