Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.5819,01/04/2017,30/04/2017
Albania,Lek,ALL,156.26,01/04/2017,30/04/2017
Algeria,Dinar,DZD,136.24,01/04/2017,30/04/2017
Angola,Readj Kwanza,AOA,206.79,01/04/2017,30/04/2017
Antigua,E Caribbean Dollar,XCD,3.3683,01/04/2017,30/04/2017
Argentina,Peso,ARS,19.43,01/04/2017,30/04/2017
Armenia,Dram,AMD,603.18,01/04/2017,30/04/2017
Aruba,Florin,AWG,2.233,01/04/2017,30/04/2017
Australia,Dollar,AUD,1.6258,01/04/2017,30/04/2017
Azerbaijan,New Manat,AZN,2.127,01/04/2017,30/04/2017
Bahamas,Dollar,BSD,1.2475,01/04/2017,30/04/2017
Bahrain,Dinar,BHD,0.4703,01/04/2017,30/04/2017
Bangladesh,Taka,BDT,100.17,01/04/2017,30/04/2017
Barbados,Dollar,BBD,2.495,01/04/2017,30/04/2017
Belarus,Rouble,BYN,2.5044,01/04/2017,30/04/2017
Belize,Dollar,BZD,2.5075,01/04/2017,30/04/2017
Benin,CFA Franc,XOF,757.58,01/04/2017,30/04/2017
Bermuda,Dollar (US),BMD,1.2475,01/04/2017,30/04/2017
Bhutan,Ngultrum,BTN,81.64,01/04/2017,30/04/2017
Bolivia,Boliviano,BOB,8.6203,01/04/2017,30/04/2017
Bosnia- Herzegovinia,Marka,BAM,2.2589,01/04/2017,30/04/2017
Botswana,Pula,BWP,12.7,01/04/2017,30/04/2017
Brazil,Real,BRL,3.8494,01/04/2017,30/04/2017
Brunei,Dollar,BND,1.7445,01/04/2017,30/04/2017
Bulgaria,Lev,BGN,2.2589,01/04/2017,30/04/2017
Burkina Faso,CFA Franc,XOF,757.58,01/04/2017,30/04/2017
Burundi,Franc,BIF,2109.5,01/04/2017,30/04/2017
Cambodia,Riel,KHR,4977.54,01/04/2017,30/04/2017
Cameroon Republic,CFA Franc,XAF,757.58,01/04/2017,30/04/2017
Canada,Dollar,CAD,1.665,01/04/2017,30/04/2017
Cape Verde Islands,Escudo,CVE,127.8,01/04/2017,30/04/2017
Cayman Islands,Dollar,KYD,1.023,01/04/2017,30/04/2017
Central African Republic,CFA Franc,XAF,757.58,01/04/2017,30/04/2017
Chad,CFA Franc,XAF,757.58,01/04/2017,30/04/2017
Chile,Peso,CLP,827.11,01/04/2017,30/04/2017
China,Yuan,CNY,8.5914,01/04/2017,30/04/2017
Colombia,Peso,COP,3656.81,01/04/2017,30/04/2017
Comoros,Franc,KMF,568.19,01/04/2017,30/04/2017
Congo (Brazaville),CFA Franc,XAF,757.58,01/04/2017,30/04/2017
Congo (DemRep),Congo Fr,CDF,1671.65,01/04/2017,30/04/2017
Costa Rica,Colon,CRC,695.78,01/04/2017,30/04/2017
Cote d'Ivoire,CFA Franc,XOF,757.58,01/04/2017,30/04/2017
Croatia,Kuna,HRK,8.5581,01/04/2017,30/04/2017
Cuba,Peso,CUP,1.2475,01/04/2017,30/04/2017
Czech Republic,Koruna,CZK,31.2,01/04/2017,30/04/2017
Denmark,Krone,DKK,8.5903,01/04/2017,30/04/2017
Djibouti,Franc,DJF,221.7,01/04/2017,30/04/2017
Dominica,E Caribbean Dollar,XCD,3.3683,01/04/2017,30/04/2017
Dominican Republic,Peso,DOP,59,01/04/2017,30/04/2017
Dubai,Dirham,AED,4.5819,01/04/2017,30/04/2017
Ecuador,Dollar,ECS,1.2475,01/04/2017,30/04/2017
Egypt,Pound,EGP,22.44,01/04/2017,30/04/2017
El Salvador,Colon,SVC,10.91,01/04/2017,30/04/2017
Equatorial Guinea,CFA Franc,XAF,757.58,01/04/2017,30/04/2017
Eritrea,Nakfa,ERN,18.71,01/04/2017,30/04/2017
Ethiopia,Birr,ETB,28.46,01/04/2017,30/04/2017
Eurozone,Euro,EUR,1.1549,01/04/2017,30/04/2017
Fiji Islands,Dollar,FJD,2.5858,01/04/2017,30/04/2017
Fr. Polynesia,CFP Franc,XPF,137.82,01/04/2017,30/04/2017
Gabon,CFA Franc,XAF,757.58,01/04/2017,30/04/2017
Gambia,Dalasi,GMD,55.76,01/04/2017,30/04/2017
Georgia,Lari,GEL,3.0439,01/04/2017,30/04/2017
Ghana,Cedi,GHS,5.5264,01/04/2017,30/04/2017
Grenada,E Caribbean Dollar,XCD,3.3683,01/04/2017,30/04/2017
Guatemala,Quetzal,GTQ,9.1498,01/04/2017,30/04/2017
Guinea Bissau,CFA Franc,XOF,757.58,01/04/2017,30/04/2017
Guinea Republic,Franc,GNF,11601.8,01/04/2017,30/04/2017
Guyana,Dollar,GYD,259.1,01/04/2017,30/04/2017
Haiti,Gourde,HTG,86.21,01/04/2017,30/04/2017
Honduras,Lempira,HNL,29.35,01/04/2017,30/04/2017
Hong Kong,Dollar,HKD,9.6889,01/04/2017,30/04/2017
Hungary,Forint,HUF,356.76,01/04/2017,30/04/2017
Iceland,Krona,ISK,137.9,01/04/2017,30/04/2017
India,Rupee,INR,81.64,01/04/2017,30/04/2017
Indonesia,Rupiah,IDR,16628,01/04/2017,30/04/2017
Iraq,Dinar,IQD,1475.17,01/04/2017,30/04/2017
Israel,Shekel,ILS,4.5516,01/04/2017,30/04/2017
Jamaica,Dollar,JMD,160.8,01/04/2017,30/04/2017
Japan,Yen,JPY,138.58,01/04/2017,30/04/2017
Jordan,Dinar,JOD,0.8845,01/04/2017,30/04/2017
Kazakhstan,Tenge,KZT,393.75,01/04/2017,30/04/2017
Kenya,Schilling,KES,128.36,01/04/2017,30/04/2017
Kuwait,Dinar,KWD,0.3801,01/04/2017,30/04/2017
Kyrgyz Republic,Som,KGS,86.46,01/04/2017,30/04/2017
Lao People's Dem Rep,Kip,LAK,10232.03,01/04/2017,30/04/2017
Lebanon,Pound,LBP,1886.85,01/04/2017,30/04/2017
Lesotho,Loti,LSL,15.66,01/04/2017,30/04/2017
Liberia,Dollar (US),LRD,1.2475,01/04/2017,30/04/2017
Libya,Dinar,LYD,1.7777,01/04/2017,30/04/2017
Macao,Pataca,MOP,9.9796,01/04/2017,30/04/2017
Macedonia,Denar,MKD,71.11,01/04/2017,30/04/2017
