Country,Currency,Currency code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.7986,01/03/2019,31/03/2019
Albania,Lek,ALL,143.31,01/03/2019,31/03/2019
Algeria,Dinar,DZD,154.99,01/03/2019,31/03/2019
Angola,Readj Kwanza,AOA,409.83,01/03/2019,31/03/2019
Antigua,E Caribbean Dollar,XCD,3.5273,01/03/2019,31/03/2019
Argentina,Peso,ARS,52.93,01/03/2019,31/03/2019
Armenia,Dram,AMD,636.98,01/03/2019,31/03/2019
Aruba,Florin,AWG,2.3385,01/03/2019,31/03/2019
Australia,Dollar,AUD,1.8231,01/03/2019,31/03/2019
Azerbaijan,New Manat,AZN,2.2163,01/03/2019,31/03/2019
Bahamas,Dollar,BSD,1.3064,01/03/2019,31/03/2019
Bahrain,Dinar,BHD,0.4925,01/03/2019,31/03/2019
Bangladesh,Taka,BDT,109.91,01/03/2019,31/03/2019
Barbados,Dollar,BBD,2.6128,01/03/2019,31/03/2019
Belarus,Rouble,BYN,2.8,01/03/2019,31/03/2019
Belize,Dollar,BZD,2.6112,01/03/2019,31/03/2019
Benin,CFA Franc,XOF,755.08,01/03/2019,31/03/2019
Bermuda,Dollar (US),BMD,1.3064,01/03/2019,31/03/2019
Bhutan,Ngultrum,BTN,92.94,01/03/2019,31/03/2019
Bolivia,Boliviano,BOB,9.0273,01/03/2019,31/03/2019
Bosnia- Herzegovinia,Marka,BAM,2.2514,01/03/2019,31/03/2019
Botswana,Pula,BWP,13.8,01/03/2019,31/03/2019
Brazil,Real,BRL,4.853,01/03/2019,31/03/2019
Brunei,Dollar,BND,1.7646,01/03/2019,31/03/2019
Bulgaria,Lev,BGN,2.2516,01/03/2019,31/03/2019
Burkina Faso,CFA Franc,XOF,755.08,01/03/2019,31/03/2019
Burundi,Franc,BIF,2378.96,01/03/2019,31/03/2019
Cambodia,Riel,KHR,5225.61,01/03/2019,31/03/2019
Cameroon Republic,CFA Franc,XAF,755.08,01/03/2019,31/03/2019
Canada,Dollar,CAD,1.7207,01/03/2019,31/03/2019
Cape Verde Islands,Escudo,CVE,127.53,01/03/2019,31/03/2019
Cayman Islands,Dollar,KYD,1.0713,01/03/2019,31/03/2019
Central African Republic,CFA Franc,XAF,755.08,01/03/2019,31/03/2019
Chad,CFA Franc,XAF,755.08,01/03/2019,31/03/2019
Chile,Peso,CLP,853.02,01/03/2019,31/03/2019
China,Yuan,CNY,8.7848,01/03/2019,31/03/2019
Colombia,Peso,COP,4069.3,01/03/2019,31/03/2019
Comoros,Franc,KMF,566.31,01/03/2019,31/03/2019
Congo (Brazaville),CFA Franc,XAF,755.08,01/03/2019,31/03/2019
Congo (DemRep),Congo Fr,CDF,2129.43,01/03/2019,31/03/2019
Costa Rica,Colon,CRC,795.84,01/03/2019,31/03/2019
Cote d'Ivoire,CFA Franc,XOF,755.08,01/03/2019,31/03/2019
Croatia,Kuna,HRK,8.5357,01/03/2019,31/03/2019
Cuba,Peso,CUP,1.3064,01/03/2019,31/03/2019
Czech Republic,Koruna,CZK,29.53,01/03/2019,31/03/2019
Denmark,Krone,DKK,8.5891,01/03/2019,31/03/2019
Djibouti,Franc,DJF,232.17,01/03/2019,31/03/2019
Dominica,E Caribbean Dollar,XCD,3.5273,01/03/2019,31/03/2019
Dominican Republic,Peso,DOP,66.11,01/03/2019,31/03/2019
Dubai,Dirham,AED,4.7986,01/03/2019,31/03/2019
Ecuador,Dollar,ECS,1.3064,01/03/2019,31/03/2019
Egypt,Pound,EGP,22.94,01/03/2019,31/03/2019
El Salvador,Colon,SVC,11.43,01/03/2019,31/03/2019
Equatorial Guinea,CFA Franc,XAF,755.08,01/03/2019,31/03/2019
Eritrea,Nakfa,ERN,19.59,01/03/2019,31/03/2019
Ethiopia,Birr,ETB,37.15,01/03/2019,31/03/2019
Eurozone,Euro,EUR,1.1511,01/03/2019,31/03/2019
Fiji Islands,Dollar,FJD,2.7728,01/03/2019,31/03/2019
Fr. Polynesia,CFP Franc,XPF,137.36,01/03/2019,31/03/2019
Gabon,CFA Franc,XAF,755.08,01/03/2019,31/03/2019
Gambia,Dalasi,GMD,65.32,01/03/2019,31/03/2019
Georgia,Lari,GEL,3.4711,01/03/2019,31/03/2019
Ghana,Cedi,GHS,6.9076,01/03/2019,31/03/2019
Grenada,E Caribbean Dollar,XCD,3.5273,01/03/2019,31/03/2019
Guatemala,Quetzal,GTQ,10.08,01/03/2019,31/03/2019
Guinea Bissau,CFA Franc,XOF,755.08,01/03/2019,31/03/2019
Guinea Republic,Franc,GNF,11919.93,01/03/2019,31/03/2019
Guyana,Dollar,GYD,273.37,01/03/2019,31/03/2019
